time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0084,0,0,0,0,0,0,0
1,0.0084,0,0,0,0,0,0,0
2,0.008,0.000137931,0,0,0,0,0,0
3,0.0082,0.000137931,0,0,0,0,0,0
4,0.008,0.000206897,0,0,0,0,0,0
5,0.0082,0.000206897,0,0,0,0,0,0
6,0.0084,0.000206897,0,0,0,0,0,0
7,0.0086,0.000206897,0,0,0,0,0,0
8,0.0086,0.000206897,0,0,0,0,0,0
9,0.0084,0.000275862,0,0,0,0,0,0
10,0.0086,0.000275862,0,0,0,0,0,0
11,0.0088,0.000275862,0,0,0,0,0,0
12,0.0088,0.000275862,0,0,0,0,0,0
13,0.009,0.000344828,0,0,0,0,0,0
14,0.0088,0.000413793,0,0,0,0,0,0
15,0.009,0.000482759,0,0,0,0,0,0
16,0.0092,0.000551724,0,0,0,0,0,0
17,0.0094,0.000413793,0,0,0,0,1.31492e-05,1.4245e-07
18,0.0098,0.000413793,0,0,0,0,0,1.4245e-07
19,0.0096,0.000482759,0,0,0,0,0,1.4245e-07
20,0.0094,0.000551724,0,3.58974e-05,0,6.41026e-05,1.31492e-05,1.4245e-07
21,0.0094,0.000482759,0,1.53846e-05,0,2.13675e-05,1.31492e-05,1.4245e-07
22,0.0096,0.000551724,0,0,0,0,0,1.4245e-07
23,0.0094,0.00062069,0,0,0,0,0,1.4245e-07
24,0.0092,0.000758621,0,0,0,0,0,1.4245e-07
25,0.009,0.000827586,0,0,0,0,0,1.4245e-07
26,0.009,0.000758621,0,0,0,0,0,1.4245e-07
27,0.0092,0.000758621,0,0,0,0,0,1.4245e-07
28,0.0092,0.000758621,0,0,0,0,0,1.4245e-07
29,0.0092,0.000758621,0,0,0,0,0,1.4245e-07
30,0.0092,0.000827586,0,0,0,0,0,1.4245e-07
31,0.0092,0.000689655,0,0,0,0,0,1.4245e-07
32,0.0092,0.000689655,0,0,0,0,0,1.4245e-07
33,0.0092,0.000689655,0,0,0,0,0,1.4245e-07
34,0.009,0.000758621,0,0,0,0,0,1.4245e-07
35,0.0092,0.000758621,0,0,0,0,0,1.4245e-07
36,0.0094,0.000758621,0,0,0,0,0,1.4245e-07
37,0.0096,0.000758621,0,0,0,0,0,1.4245e-07
38,0.0094,0.000827586,0,0,0,0,0,1.4245e-07
39,0.0094,0.000965517,0,0,0,0,0,1.4245e-07
40,0.0088,0.00124138,0,0,0,0,0,1.4245e-07
41,0.0088,0.00117241,0,0,0,0,0,2.849e-07
42,0.0088,0.00110345,0,0,0,0,0,2.849e-07
43,0.0088,0.00110345,0,0,0,0,0,1.4245e-07
44,0.0086,0.00117241,0,0,0,0,0,1.4245e-07
45,0.0088,0.00131034,0,0,0,0,0,1.4245e-07
46,0.0088,0.00131034,0,0,0,0,0,1.4245e-07
47,0.0088,0.00131034,0.000133333,1.53846e-05,0,2.13675e-05,2.62985e-05,1.4245e-07
48,0.009,0.00124138,4.44444e-05,0.000112821,0,0.000235043,7.88955e-05,1.4245e-07
49,0.009,0.00117241,0.000311111,0.000158974,0,4.2735e-05,0.000131492,1.4245e-07
50,0.009,0.00117241,0.000533333,0.000615385,0,0.000470085,0.000578567,1.4245e-07
51,0.009,0.00117241,0.000911111,0.000461538,0,0.000683761,0.000552268,2.849e-07
52,0.009,0.00117241,0.00102222,0.00136923,0,0.00119658,0.00128863,7.12251e-07
53,0.009,0.00117241,0.002,0.000830769,6.15385e-05,0.000833333,0.000973044,9.97151e-07
54,0.0094,0.00110345,0.00182222,0.00127179,0.000184615,0.00121795,0.00135437,2.99145e-06
55,0.0096,0.00110345,0.00137778,0.00141026,0.000307692,0.00132479,0.00118343,6.41026e-06
56,0.0096,0.00110345,0.00122222,0.00114359,0.000292308,0.00108974,0.00134122,1.02564e-05
57,0.0096,0.00110345,0.00195556,0.000841026,3.07692e-05,0.00102564,0.00103879,1.2963e-05
58,0.0094,0.00117241,0.002,0.00185641,0.000123077,0.0016453,0.00157791,1.33903e-05
59,0.0096,0.00117241,0.00253333,0.0022359,0.000169231,0.00228632,0.00215648,1.72365e-05
60,0.009,0.00158621,0.0018,0.00243077,0.000138462,0.00286325,0.00287968,1.95157e-05
61,0.009,0.00151724,0.00186667,0.00200513,0.000307692,0.00247863,0.00166995,2.2792e-05
62,0.009,0.00158621,0.00228889,0.00187692,0.0002,0.00155983,0.0016568,2.70655e-05
