time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0096,0,0,0,0,0,0,0
1,0.0092,0.000137931,0,0,0,0,0,0
2,0.0094,0.000137931,0,0,0,0,0,0
3,0.0094,0.000206897,0,0,0,0,0,0
4,0.0094,0.000206897,0,0,0,0,0,0
5,0.0094,0.000206897,0,0,0,0,0,0
6,0.0094,0.000206897,0,0,0,0,0,0
7,0.0094,0.000206897,0,0,0,0,0,0
8,0.0094,0.000206897,0,0,0,0,0,0
9,0.0094,0.000137931,0,0,0,0,0,0
10,0.0096,0.000137931,0,0,0,0,0,0
11,0.0096,6.89655e-05,0,0,0,0,0,0
12,0.0094,0.000137931,0,0,0,0,0,0
13,0.0088,0.000344828,0,0,0,0,0,0
14,0.0088,0.000275862,0,0,0,0,0,0
15,0.0088,0.000206897,0,0,0,0,0,0
16,0.0086,0.000275862,0,0,0,0,0,0
17,0.0088,0.000275862,0,0,0,0,0,0
18,0.0088,0.000344828,0,0,0,0,0,0
19,0.0088,0.000344828,0,0,0,0,0,0
20,0.0086,0.000413793,0,0,0,0,0,0
21,0.0082,0.00062069,0,0,0,0,0,0
22,0.0084,0.000689655,0,0,0,0,0,0
23,0.0084,0.000689655,0,0,0,0,0,0
24,0.0084,0.000689655,0,0,0,0,0,0
25,0.0082,0.000758621,2.22222e-05,0,0,0,0,0
26,0.0082,0.000758621,0.000133333,0,0,6.41026e-05,0,0
27,0.0084,0.000827586,0.000155556,0.000220513,0,0.000149573,0.000236686,4.2735e-07
28,0.0084,0.000896552,6.66667e-05,0.000246154,0,0.000192308,0.000236686,4.2735e-07
29,0.0082,0.000965517,0,0.00014359,0,0.000235043,0.000144642,4.2735e-07
30,0.0082,0.000758621,0,0.000153846,0,2.13675e-05,0.000157791,4.2735e-07
31,0.0082,0.000827586,0,9.74359e-05,0,8.54701e-05,6.57462e-05,4.2735e-07
32,0.0086,0.000896552,0,3.07692e-05,0,2.13675e-05,1.31492e-05,4.2735e-07
33,0.0088,0.000827586,0,5.12821e-06,0,0,3.94477e-05,4.2735e-07
34,0.009,0.000758621,0,5.12821e-06,0,0,1.31492e-05,4.2735e-07
35,0.009,0.000965517,0,0,0,0,0,4.2735e-07
36,0.0088,0.000965517,0,1.02564e-05,0,0,1.31492e-05,4.2735e-07
37,0.0086,0.00117241,0,0,0,0,0,4.2735e-07
38,0.0088,0.00124138,0,0,0,0,0,4.2735e-07
39,0.009,0.00110345,0,5.12821e-06,0,2.13675e-05,1.31492e-05,4.2735e-07
40,0.009,0.00103448,0,0,0,0,0,4.2735e-07
41,0.009,0.00117241,0,0,0,0,0,4.2735e-07
42,0.0088,0.00131034,0,0,0,0,0,4.2735e-07
43,0.009,0.00124138,0,0,0,0,1.31492e-05,4.2735e-07
44,0.009,0.00144828,0,0,0,0,0,4.2735e-07
45,0.0088,0.00158621,0,0,0,0,0,4.2735e-07
46,0.0088,0.00151724,0,0,0,0,0,4.2735e-07
47,0.0088,0.00144828,0,0,0,0,0,4.2735e-07
48,0.0088,0.00144828,0,0,0,0,0,4.2735e-07
49,0.0088,0.00151724,0,0,0,0,0,4.2735e-07
50,0.0088,0.00151724,0,0,0,0,0,4.2735e-07
51,0.0088,0.00158621,0,0,0,0,0,4.2735e-07
52,0.0088,0.00165517,0,0,0,0,0,4.2735e-07
53,0.0088,0.00165517,0,0,0,0,0,4.2735e-07
54,0.0088,0.00186207,0,0,0,0,0,4.2735e-07
55,0.0088,0.00158621,8.88889e-05,0.000169231,0,0.000106838,7.88955e-05,4.2735e-07
56,0.0088,0.00158621,0,7.69231e-05,0,8.54701e-05,0.000144642,4.2735e-07
57,0.0086,0.00172414,0,1.53846e-05,0,2.13675e-05,1.31492e-05,4.2735e-07
58,0.0086,0.00165517,0,0,0,0,0,4.2735e-07
59,0.0088,0.00158621,0.0002,7.69231e-05,0,0.000106838,1.31492e-05,4.2735e-07
60,0.0092,0.00158621,0.000555556,0.000184615,0,0.000149573,0.000223537,4.2735e-07
61,0.0092,0.00151724,0.000622222,0.000420513,0,0.000512821,0.000683761,4.2735e-07
62,0.009,0.00172414,0.000777778,0.000533333,3.07692e-05,0.000619658,0.000631164,5.69801e-07
63,0.0088,0.00172414,0.000466667,0.000825641,4.61538e-05,0.000811966,0.000775805,1.1396e-06
64,0.0086,0.00186207,0.000444444,0.000651282,0,0.000811966,0.000539119,2.13675e-06
65,0.0088,0.00165517,0.000911111,0.000671795,3.07692e-05,0.000790598,0.000644313,2.70655e-06
66,0.0086,0.0017931,0.00128889,0.00115385,0.000138462,0.00111111,0.00103879,3.9886e-06
67,0.0084,0.00186207,0.0012,0.00147692,0.000107692,0.00162393,0.00130178,5.55556e-06
