time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0078,0,0,0,0,0,0,0
1,0.0076,6.89655e-05,0,0,0,0,0,0
2,0.0074,0.000137931,0,0,0,0,0,0
3,0.0074,0.000206897,0,0,0,0,0,0
4,0.0074,0.000275862,0,0,0,0,0,0
5,0.0072,0.000344828,0,0,0,0,0,0
6,0.0072,0.000344828,0,0,0,0,0,0
7,0.0072,0.000344828,0,0,0,0,0,0
8,0.0072,0.000344828,0,0,0,0,0,0
9,0.0072,0.000344828,0,0,0,0,0,0
10,0.0072,0.000344828,0,0,0,0,0,0
11,0.0072,0.000413793,0,0,0,0,0,0
12,0.0074,0.000413793,0,0,0,0,0,0
13,0.0076,0.000413793,0,0,0,0,0,0
14,0.0076,0.000344828,0,0,0,0,0,0
15,0.0078,0.000344828,0,0,0,0,0,0
16,0.0078,0.000275862,0,0,0,0,0,0
17,0.0078,0.000344828,0,0,0,0,0,0
18,0.0076,0.000413793,0,0,0,0,0,0
19,0.0076,0.000413793,0,0,0,0,0,0
20,0.0078,0.000413793,0,0,0,0,0,0
21,0.0078,0.000482759,0,0,0,0,0,0
22,0.0078,0.000482759,0,0,0,0,0,0
23,0.0078,0.000482759,0,0,0,0,0,0
24,0.0078,0.000551724,0,0,0,0,0,0
25,0.0076,0.000689655,0,0,0,0,0,0
26,0.007,0.000896552,0,0,0,0,0,0
27,0.007,0.000827586,0,2.5641e-05,0,2.13675e-05,6.57462e-05,0
28,0.007,0.000827586,0,0,0,0,0,0
29,0.007,0.000896552,0,0,0,0,0,0
30,0.0072,0.000827586,0.000133333,5.12821e-05,0,4.2735e-05,3.94477e-05,0
31,0.0072,0.000896552,0,0,0,4.2735e-05,0,0
32,0.0072,0.00103448,0,0,0,0,0,0
33,0.007,0.000965517,0,5.12821e-06,0,0,0,0
34,0.0068,0.000896552,0.000133333,4.61538e-05,0,2.13675e-05,3.94477e-05,0
35,0.007,0.000896552,0.000955556,0.000266667,0,0.00017094,0.000197239,1.4245e-07
36,0.0066,0.00117241,0.0014,0.00113846,3.07692e-05,0.00106838,0.00111769,2.849e-07
37,0.0064,0.00124138,0.00184444,0.00138462,4.61538e-05,0.00145299,0.00143327,1.85185e-06
38,0.006,0.00137931,0.00264444,0.0018,0,0.00181624,0.00156476,1.85185e-06
39,0.006,0.00137931,0.00284444,0.00228205,0,0.00237179,0.00235371,1.9943e-06
40,0.006,0.00151724,0.00297778,0.00252821,0,0.00237179,0.00260355,2.2792e-06
41,0.006,0.00172414,0.00266667,0.00301026,0,0.0025,0.00293228,2.2792e-06
42,0.006,0.00165517,0.00211111,0.00232821,1.53846e-05,0.00226496,0.0026167,3.9886e-06
