time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0066,0,0,0,0,0,0,0
1,0.0066,0,0,0,0,0,0,0
2,0.0064,6.89655e-05,0,0,0,0,0,0
3,0.0066,6.89655e-05,0,0,0,0,0,0
4,0.0066,6.89655e-05,0,0,0,0,0,0
5,0.0068,6.89655e-05,0,0,0,0,0,0
6,0.0066,0.000137931,0,0,0,0,0,0
7,0.0066,0.000137931,0,0,0,0,0,0
8,0.0066,0.000137931,0,0,0,0,0,0
9,0.0066,0.000206897,0,0,0,0,0,0
10,0.0068,0.000137931,0,1.53846e-05,0,4.2735e-05,1.31492e-05,0
11,0.0068,0.000137931,0,0,0,0,0,0
12,0.007,0.000137931,0,0,0,0,0,0
13,0.007,0.000137931,0,0,0,0,0,0
14,0.007,0.000137931,0,0,0,0,0,0
15,0.007,0.000137931,0,0,0,0,0,0
16,0.007,0.000137931,0,0,0,0,0,0
17,0.007,0.000137931,0,0,0,0,0,0
18,0.007,0.000137931,0,0,0,0,0,0
19,0.007,0.000137931,0,0,0,0,0,0
20,0.007,0.000137931,0,0,0,0,0,0
21,0.007,0.000137931,0,0,0,0,0,0
22,0.0072,0.000137931,0,0,0,0,0,0
23,0.0072,0.000206897,0,0,0,0,0,0
24,0.0072,0.000206897,0,0,0,0,0,0
25,0.0072,0.000206897,0,0,0,0,0,0
26,0.007,0.000275862,0,0,0,0,0,0
27,0.0066,0.000413793,0,0,0,0,0,0
28,0.0064,0.00062069,0,0,0,0,0,0
29,0.0066,0.000551724,0.000111111,1.53846e-05,0,0,0,0
30,0.0064,0.000551724,2.22222e-05,0.000133333,0,6.41026e-05,0.000105194,0
31,0.0064,0.00062069,0,0.000169231,0,8.54701e-05,0.000184089,0
32,0.0068,0.000689655,0,3.58974e-05,0,4.2735e-05,6.57462e-05,0
33,0.0068,0.000827586,0,0,0,0,0,0
34,0.0072,0.000758621,0,0,0,0,0,0
35,0.0072,0.000689655,0,0,0,0,0,0
36,0.007,0.000689655,0,5.12821e-06,0,2.13675e-05,0,0
37,0.007,0.00062069,0,0,0,0,1.31492e-05,0
38,0.007,0.000689655,0,0,0,0,0,0
39,0.007,0.000689655,0,0,0,0,0,0
40,0.007,0.00062069,0,0,0,0,0,0
41,0.007,0.00062069,0,0,0,0,0,0
42,0.0068,0.000827586,0,0,0,0,0,0
43,0.0066,0.000896552,4.44444e-05,3.58974e-05,0,2.13675e-05,5.2597e-05,0
44,0.0066,0.000896552,6.66667e-05,0.000235897,0,0.000235043,0.000184089,0
45,0.0068,0.000896552,0,1.53846e-05,0,0,0,0
46,0.007,0.000896552,0.000177778,0,0,0,0,0
47,0.007,0.00103448,0,5.12821e-06,0,2.13675e-05,5.2597e-05,0
48,0.007,0.00110345,0,0,0,0,0,0
49,0.0072,0.00117241,0,0,0,0,0,0
50,0.0072,0.00131034,0,0,0,0,0,0
51,0.0074,0.00131034,0,0,0,0,0,0
52,0.0072,0.00131034,0,0,0,0,0,0
53,0.0072,0.00131034,0,0,0,0,0,0
54,0.0074,0.00131034,0,0,0,0,0,0
55,0.0072,0.00137931,0,0,0,0,0,0
56,0.0074,0.00124138,0,5.12821e-06,0,0,1.31492e-05,0
57,0.007,0.00144828,0,0,0,0,0,0
58,0.0072,0.00137931,0,0,0,0,0,0
59,0.0074,0.00144828,0,0,0,0,0,0
60,0.0076,0.00144828,2.22222e-05,3.07692e-05,0,0,0,0
61,0.0078,0.00131034,8.88889e-05,0.000205128,0,0.000320513,0.000184089,0
62,0.008,0.00131034,4.44444e-05,0.000107692,0,8.54701e-05,7.88955e-05,0
63,0.0078,0.00137931,0,1.02564e-05,0,6.41026e-05,1.31492e-05,0
64,0.008,0.00137931,0,2.05128e-05,0,2.13675e-05,1.31492e-05,0
65,0.008,0.00124138,4.44444e-05,3.07692e-05,0,0,5.2597e-05,0
66,0.0084,0.00124138,2.22222e-05,4.10256e-05,0,6.41026e-05,5.2597e-05,0
67,0.0084,0.00124138,0,5.64103e-05,0,6.41026e-05,3.94477e-05,0
68,0.0084,0.00124138,0,3.07692e-05,0,2.13675e-05,1.31492e-05,0
69,0.0086,0.00110345,0,0,0,0,1.31492e-05,0
70,0.0086,0.00110345,0,0,0,0,0,0
71,0.0086,0.00117241,0,0,0,0,0,0
72,0.009,0.00117241,0,0,0,0,0,0
73,0.009,0.00117241,0,0,0,0,0,0
74,0.009,0.00117241,0,0,0,0,0,0
75,0.0094,0.00110345,2.22222e-05,3.07692e-05,0,0,2.62985e-05,0
76,0.0098,0.00103448,2.22222e-05,1.02564e-05,0,0,5.2597e-05,0
77,0.0098,0.00103448,0,0,0,0,0,0
78,0.0096,0.00110345,0,0,0,0,0,0
79,0.0096,0.000965517,0,5.12821e-05,0,0.000106838,7.88955e-05,0
80,0.0098,0.000896552,0,1.02564e-05,0,0,1.31492e-05,0
81,0.0098,0.000896552,0,0,0,0,0,0
82,0.01,0.000965517,0,0,0,0,0,0
83,0.0098,0.000896552,0,0,0,0,1.31492e-05,0
84,0.01,0.000965517,0,0,0,0,0,0
85,0.0098,0.00103448,0,0,0,0,0,0
86,0.01,0.00110345,0,0,0,0,0,0
87,0.01,0.00117241,0,0,0,0,0,0
88,0.0098,0.00144828,0,0,0,0,0,0
89,0.0096,0.00158621,0,0,0,0,0,0
90,0.0096,0.00172414,0,0,0,0,0,0
91,0.0096,0.0017931,0,0,0,0,0,0
92,0.0094,0.0017931,4.44444e-05,2.5641e-05,0,2.13675e-05,1.31492e-05,0
93,0.0094,0.0017931,4.44444e-05,4.10256e-05,0,0.000128205,3.94477e-05,0
94,0.0094,0.0017931,0.000155556,6.66667e-05,0,0.000128205,6.57462e-05,0
95,0.0094,0.002,0.000111111,2.5641e-05,0,8.54701e-05,2.62985e-05,0
96,0.0096,0.00193103,8.88889e-05,0.000164103,0,0.000106838,0.000184089,0
97,0.01,0.002,8.88889e-05,7.69231e-05,0,0.00017094,0.000131492,0
98,0.0102,0.00193103,4.44444e-05,8.20513e-05,0,0.000106838,0.00017094,0
99,0.01,0.00193103,6.66667e-05,0.000117949,0,0.000213675,0.000105194,0
100,0.0098,0.00206897,0,0.000189744,0,0.00025641,0.000131492,0
101,0.0098,0.00213793,0,2.05128e-05,0,2.13675e-05,2.62985e-05,0
102,0.0098,0.0022069,0,0,0,0,0,0
103,0.0096,0.00227586,0,1.53846e-05,0,0,0,0
104,0.0098,0.00213793,0,1.53846e-05,0,0,5.2597e-05,0
105,0.01,0.00227586,0,0,0,0,0,0
106,0.0102,0.0022069,0,0,0,0,0,0
107,0.01,0.0022069,0,0,0,0,0,0
108,0.01,0.00206897,0,0,0,0,0,0
109,0.0098,0.0022069,0.000111111,0,0,0,0,0
