time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0106,0,0,0,0,0,0,0
1,0.0104,6.89655e-05,0,0,0,0,0,0
2,0.0104,6.89655e-05,0,0,0,0,0,0
3,0.0102,0.000137931,0,0,0,0,0,0
4,0.0102,0.000137931,0,0,0,0,0,0
5,0.0102,0.000137931,0,0,0,0,0,0
6,0.0102,0.000137931,0,0,0,0,0,0
7,0.0104,0.000206897,0,0,0,0,0,0
8,0.0104,0.000206897,0,0,0,0,0,0
9,0.0104,0.000206897,0,0,0,0,0,0
10,0.0106,0.000206897,0.000266667,6.15385e-05,0,4.2735e-05,6.57462e-05,0
11,0.0108,0.000206897,0.000822222,0.000189744,0,0.00017094,0.000276134,0
12,0.011,0.000206897,0.0024,0.00127692,0,0.00100427,0.00109139,1.4245e-07
13,0.011,0.000206897,0.00173333,0.00152308,0,0.00151709,0.0017357,5.69801e-07
14,0.011,0.000206897,0.00202222,0.0015641,1.53846e-05,0.00179487,0.0017094,1.56695e-06
15,0.0112,0.000275862,0.00233333,0.00200513,3.07692e-05,0.00200855,0.00209073,2.42165e-06
16,0.0112,0.000275862,0.00275556,0.00255897,6.15385e-05,0.0025641,0.00238001,2.99145e-06
17,0.0112,0.000344828,0.003,0.00260513,0.0006,0.00299145,0.0026693,6.83761e-06
18,0.0118,0.000482759,0.00337778,0.00314872,0.000476923,0.00320513,0.00307692,1.52422e-05
19,0.0116,0.000551724,0.00444444,0.00361538,0.000492308,0.00348291,0.00358974,2.37892e-05
20,0.0114,0.00062069,0.00486667,0.00441026,0.000630769,0.00497863,0.00420776,3.23362e-05
21,0.0114,0.000689655,0.00517778,0.00447179,0.000323077,0.00467949,0.00441815,4.31624e-05
22,0.0114,0.000551724,0.00413333,0.00553333,0.000476923,0.00446581,0.00502301,5.21368e-05
23,0.0118,0.000482759,0.00453333,0.00528205,0.00107692,0.00474359,0.00512821,6.36752e-05
24,0.0118,0.000689655,0.00417778,0.00342051,0.00132308,0.00401709,0.00374753,8.36182e-05
25,0.0122,0.000758621,0.00233333,0.00261026,0.00178462,0.00299145,0.00265615,0.000107407
26,0.0122,0.000758621,0.00202222,0.00138462,0.002,0.00153846,0.00134122,0.00014302
27,0.012,0.000896552,0.00177778,0.0016359,0.00164615,0.00141026,0.0017094,0.000175499
28,0.0116,0.000965517,0.00253333,0.00155385,0.00112308,0.00143162,0.00128863,0.000197009
29,0.0116,0.000896552,0.00328889,0.00261538,0.00109231,0.00226496,0.00235371,0.000222507
30,0.012,0.000965517,0.00322222,0.0034,0.00104615,0.00356838,0.00333991,0.000236752
31,0.0122,0.00103448,0.00195556,0.00350769,0.000769231,0.00371795,0.00402367,0.000252707
32,0.0124,0.00103448,0.00235556,0.00283077,0.00113846,0.00275641,0.00319527,0.00026567
33,0.0124,0.000965517,0.00171111,0.00212308,0.00149231,0.00237179,0.00222222,0.000283761
34,0.0122,0.000896552,0.00177778,0.00193846,0.00192308,0.00192308,0.00199869,0.000307265
35,0.0122,0.000965517,0.00157778,0.00199487,0.00136923,0.00168803,0.00185404,0.000334188
36,0.012,0.00103448,0.00195556,0.00143077,0.00153846,0.00168803,0.0017357,0.000354701
37,0.012,0.00110345,0.00126667,0.00162564,0.00161538,0.00145299,0.00155161,0.000375071
38,0.0122,0.00110345,0.000711111,0.00105128,0.00118462,0.00130342,0.00130178,0.000396724
39,0.0122,0.00117241,0.000444444,0.000666667,0.00164615,0.000705128,0.000565417,0.000412536
40,0.0122,0.00117241,0.000444444,0.000384615,0.00204615,0.00034188,0.000328731,0.000442308
41,0.0122,0.00124138,0.000244444,0.000287179,0.00192308,0.000320513,0.000368179,0.000469516
42,0.0124,0.00131034,0.0002,0.000261538,0.00184615,0.000277778,7.88955e-05,0.000495157
43,0.0122,0.00144828,8.88889e-05,0.000220513,0.00163077,0.000149573,0.000262985,0.000518519
44,0.012,0.00151724,0.000266667,0.00014359,0.00169231,0.000128205,0.000144642,0.000538889
45,0.012,0.00144828,0.000755556,0.000276923,0.00156923,0.000448718,0.000276134,0.000560969
46,0.012,0.00137931,0.000711111,0.000825641,0.00227692,0.000747863,0.000631164,0.000581054
47,0.012,0.00137931,0.00102222,0.000805128,0.00212308,0.000790598,0.000894149,0.000610256
48,0.012,0.00158621,0.0006,0.000805128,0.00335385,0.00100427,0.000880999,0.000640028
49,0.0122,0.00158621,0.000844444,0.000651282,0.00367692,0.000619658,0.000552268,0.000690028
50,0.0122,0.00172414,0.000711111,0.000687179,0.00409231,0.000641026,0.00052597,0.000745869
51,0.012,0.0017931,0.0006,0.000405128,0.00341538,0.000619658,0.000447074,0.00080755
52,0.0122,0.00186207,0.000755556,0.000620513,0.00352308,0.000833333,0.000565417,0.000860114
53,0.0124,0.00193103,0.00108889,0.000841026,0.00303077,0.000854701,0.000762656,0.000906838
54,0.0124,0.00213793,0.000466667,0.000692308,0.00315385,0.000662393,0.000644313,0.000949858
55,0.0126,0.002,0.0006,0.000666667,0.00290769,0.000641026,0.000552268,0.000987749
56,0.0126,0.002,0.000244444,0.000558974,0.00293846,0.000555556,0.000473373,0.00101937
57,0.0126,0.002,0.0008,0.000661538,0.00227692,0.000555556,0.000552268,0.00104957
58,0.0124,0.00193103,0.00144444,0.0012,0.00213846,0.00138889,0.00120973,0.00106667
59,0.0124,0.0017931,0.00211111,0.00121538,0.00178462,0.00147436,0.00136752,0.00109217
60,0.0124,0.00172414,0.00246667,0.00142564,0.00123077,0.00149573,0.00159106,0.00109872
61,0.0124,0.0017931,0.0026,0.00192308,0.000769231,0.00179487,0.0018146,0.00109886
62,0.0126,0.0017931,0.00322222,0.00216923,0.000492308,0.00254274,0.00224852,0.00109501
63,0.0124,0.00186207,0.00197778,0.00262051,0.000584615,0.00309829,0.0025904,0.00108704
64,0.0128,0.00186207,0.00246667,0.00197949,0.000261538,0.00222222,0.00184089,0.00107393
65,0.0128,0.00186207,0.00237778,0.00211282,0.000538462,0.00200855,0.00198554,0.00106396
66,0.0126,0.00193103,0.00166667,0.00217436,0.000230769,0.00226496,0.00232742,0.0010547
67,0.0128,0.00206897,0.00146667,0.0014359,0.000476923,0.00145299,0.00169625,0.00104544
