time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0092,0,0,0,0,0,0,0
1,0.009,6.89655e-05,0,0,0,0,0,0
2,0.0088,0.000137931,0,0,0,0,0,0
3,0.009,0.000206897,0,0,0,0,0,0
4,0.0092,0.000206897,0,0,0,0,0,0
5,0.0088,0.000344828,0,0,0,0,0,0
6,0.0088,0.000344828,0,0,0,0,0,0
7,0.0088,0.000344828,0,0,0,0,0,0
8,0.0086,0.000344828,6.66667e-05,1.02564e-05,0,0,2.62985e-05,0
9,0.0086,0.000482759,0,4.10256e-05,0,4.2735e-05,5.2597e-05,0
10,0.0086,0.000413793,2.22222e-05,0,0,0,0,0
11,0.0084,0.000482759,0.0002,4.61538e-05,0,4.2735e-05,1.31492e-05,0
12,0.0086,0.000482759,0.000666667,0.000174359,0,0.000149573,0.000105194,0
13,0.0088,0.000482759,0.00144444,0.000676923,0,0.000598291,0.000565417,1.4245e-07
14,0.0088,0.000413793,0.00106667,0.00137436,0,0.00166667,0.00143327,9.97151e-07
15,0.0086,0.000551724,0.00117778,0.00124615,0,0.00145299,0.00122288,9.97151e-07
16,0.0086,0.00062069,0.000511111,0.000805128,1.53846e-05,0.000769231,0.000670611,1.9943e-06
17,0.0086,0.00062069,8.88889e-05,0.000605128,4.61538e-05,0.000662393,0.000539119,2.5641e-06
18,0.0086,0.000689655,4.44444e-05,0.000297436,7.69231e-05,0.00042735,0.000499671,3.9886e-06
19,0.0086,0.000551724,0.0002,0.000102564,0,8.54701e-05,0.000118343,4.41595e-06
20,0.0086,0.000551724,0.000333333,0.000394872,0,0.00025641,0.000407627,3.9886e-06
21,0.0086,0.000551724,0.000155556,0.000235897,0,0.000320513,0.000210388,3.9886e-06
22,0.009,0.000551724,6.66667e-05,0.000133333,0,0.000128205,9.20447e-05,3.9886e-06
23,0.009,0.000482759,0,3.58974e-05,0,0.000128205,6.57462e-05,3.7037e-06
24,0.009,0.000413793,0,0,0,0,0,3.56125e-06
25,0.0088,0.000413793,0.0002,0.000112821,0,2.13675e-05,6.57462e-05,3.56125e-06
26,0.0086,0.000482759,0.0002,0.000123077,0,0.000128205,0.00017094,3.7037e-06
27,0.0086,0.000551724,0.000555556,0.000297436,0,0.000299145,0.000302433,3.84615e-06
28,0.0088,0.000551724,0.000355556,0.000682051,0,0.000662393,0.000802104,3.84615e-06
29,0.0086,0.000689655,0.0002,0.000251282,0,0.000277778,0.00035503,3.84615e-06
30,0.0088,0.000689655,2.22222e-05,6.66667e-05,0,0.000106838,7.88955e-05,3.7037e-06
31,0.0086,0.000758621,0,4.61538e-05,0,4.2735e-05,2.62985e-05,3.7037e-06
32,0.0086,0.000758621,0,5.64103e-05,0,2.13675e-05,3.94477e-05,3.7037e-06
33,0.0086,0.000827586,0,0,0,0,0,3.7037e-06
34,0.0086,0.000827586,0,0,0,0,0,3.56125e-06
35,0.0086,0.000758621,0,0,0,0,0,3.56125e-06
36,0.0086,0.000689655,0,5.12821e-06,0,0,0,3.56125e-06
37,0.0088,0.00062069,0,0,0,0,0,3.56125e-06
38,0.0094,0.00062069,0,0,0,0,0,3.56125e-06
39,0.0094,0.00062069,0,0,0,0,0,3.56125e-06
40,0.0096,0.00062069,0,0,0,0,0,3.56125e-06
41,0.0096,0.000689655,0,0,0,0,0,3.56125e-06
42,0.0092,0.000758621,0,0,0,0,0,3.56125e-06
43,0.0092,0.000689655,0,0,0,0,0,3.27635e-06
