time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0116,0,0,0,0,0,0,0
1,0.0116,0,0,0,0,0,0,0
2,0.0116,0.000206897,0,0,0,0,0,0
3,0.0116,0.000275862,0,0,0,0,0,0
4,0.0116,0.000275862,0,0,0,0,0,0
5,0.0116,0.000344828,0,0,0,0,0,0
6,0.0116,0.000344828,0,0,0,0,0,0
7,0.0118,0.000413793,0,0,0,0,0,0
8,0.012,0.000413793,0,0,0,0,0,0
9,0.0116,0.000551724,0,0,0,0,0,0
10,0.0116,0.000482759,0,0,0,0,1.31492e-05,0
11,0.0114,0.000482759,0.000244444,3.58974e-05,0,2.13675e-05,0,0
12,0.0114,0.000482759,0.000177778,0.000235897,0,0.000363248,0.000157791,0
13,0.0114,0.000413793,0.000555556,0.000138462,0,0.000277778,0.000210388,0
14,0.0114,0.000413793,0.000444444,0.000420513,0,0.000277778,0.000433925,0
15,0.0114,0.000344828,0.0004,0.000446154,0,0.000363248,0.000315582,0
16,0.0114,0.000275862,4.44444e-05,0.000235897,0,0.000213675,0.000289283,0
17,0.0114,0.000275862,0,5.64103e-05,0,4.2735e-05,5.2597e-05,0
18,0.0114,0.000344828,0,2.05128e-05,0,0,1.31492e-05,0
19,0.0114,0.000482759,0,0,0,0,0,0
20,0.0114,0.000413793,0,1.53846e-05,0,2.13675e-05,2.62985e-05,0
21,0.0116,0.000413793,0,0,0,2.13675e-05,2.62985e-05,0
22,0.0114,0.000482759,0,0,0,0,0,0
23,0.0114,0.00062069,0,0,0,0,0,0
24,0.0114,0.00062069,0,0,0,0,0,0
25,0.0118,0.00062069,0,0,0,0,0,0
26,0.012,0.000689655,0,0,0,0,0,0
27,0.0122,0.000827586,0,0,0,0,0,0
28,0.0122,0.000827586,0,0,0,0,0,0
29,0.012,0.000896552,0,5.12821e-06,0,0,0,0
30,0.0122,0.000965517,0,0,0,0,0,0
31,0.0124,0.000896552,0,0,0,0,0,0
32,0.0122,0.00103448,0,0,0,0,0,0
33,0.0122,0.000896552,0,5.12821e-06,0,2.13675e-05,0,0
34,0.0122,0.000896552,0,0,0,0,0,0
35,0.012,0.000965517,0,0,0,0,0,0
36,0.012,0.00110345,0,0,0,0,0,0
37,0.012,0.00137931,0,0,0,0,0,0
38,0.012,0.00137931,0,0,0,0,0,0
39,0.0124,0.00137931,0,0,0,0,0,0
40,0.0124,0.00151724,0,0,0,0,0,0
41,0.0122,0.00172414,0,0,0,0,0,0
42,0.0118,0.002,0,0,0,0,0,0
43,0.0116,0.00206897,0,1.53846e-05,0,0,1.31492e-05,0
44,0.0116,0.0022069,0,3.58974e-05,0,0,2.62985e-05,0
45,0.0116,0.00255172,0,0,0,0,2.62985e-05,0
46,0.0114,0.00255172,0,5.12821e-06,0,2.13675e-05,3.94477e-05,0
47,0.0114,0.00241379,4.44444e-05,3.07692e-05,0,2.13675e-05,3.94477e-05,0
48,0.0116,0.00262069,0,0,0,2.13675e-05,0,0
49,0.0116,0.00262069,4.44444e-05,5.12821e-05,0,2.13675e-05,9.20447e-05,0
50,0.0118,0.00241379,0.000311111,0.000138462,0,0.000149573,9.20447e-05,0
51,0.0116,0.0022069,0.000222222,0.000189744,0,0.000128205,0.000157791,0
52,0.0114,0.00234483,8.88889e-05,0.000174359,0,0.000192308,5.2597e-05,0
53,0.0114,0.00227586,6.66667e-05,0.000128205,0,4.2735e-05,0.000157791,0
54,0.0114,0.00234483,0,5.64103e-05,0,8.54701e-05,3.94477e-05,0
55,0.0116,0.00248276,0,0,0,2.13675e-05,0,0
56,0.012,0.00255172,8.88889e-05,0.000123077,0,0.000149573,0.000184089,0
57,0.0118,0.00268966,6.66667e-05,6.15385e-05,0,0.000128205,3.94477e-05,2.849e-07
58,0.0118,0.00268966,0.000466667,3.58974e-05,0,6.41026e-05,5.2597e-05,2.849e-07
59,0.012,0.00268966,0.000377778,0.000328205,0,0.000448718,0.000262985,2.849e-07
60,0.0122,0.00262069,0.0002,0.000364103,0,0.000470085,0.000394477,4.2735e-07
61,0.012,0.00275862,0.0004,0.000235897,0,0.00025641,0.000197239,4.2735e-07
62,0.012,0.00289655,0.0004,0.000492308,0,0.000534188,0.000539119,5.69801e-07
63,0.012,0.00296552,0.000266667,0.000328205,0,0.000405983,0.000433925,5.69801e-07
64,0.0116,0.00296552,0.000288889,0.0004,0,0.000384615,0.00035503,5.69801e-07
65,0.0116,0.00282759,0.000288889,0.000461538,0,0.000491453,0.00052597,5.69801e-07
66,0.0116,0.00262069,4.44444e-05,0.000451282,0,0.000299145,0.000368179,5.69801e-07
67,0.0116,0.00255172,0,0.000184615,0,0.000277778,0.00035503,5.69801e-07
68,0.0116,0.00248276,0,8.71795e-05,0,0.000106838,5.2597e-05,5.69801e-07
69,0.0116,0.00262069,0,0.000107692,0,0.000106838,0.000144642,5.69801e-07
70,0.0116,0.00262069,0.000111111,8.71795e-05,0,0.000235043,0.000184089,5.69801e-07
71,0.0116,0.00248276,0.0002,9.74359e-05,0,0.00017094,0.00017094,7.12251e-07
72,0.0116,0.00248276,8.88889e-05,4.10256e-05,3.07692e-05,2.13675e-05,5.2597e-05,7.12251e-07
73,0.0116,0.00255172,0.000133333,0,0,0,2.62985e-05,1.28205e-06
74,0.0116,0.00241379,0.000355556,0.000133333,0,0.000235043,0.000157791,1.4245e-06
75,0.0116,0.00248276,0.000266667,0.000123077,0,0.00017094,0.000197239,1.28205e-06
76,0.0116,0.00234483,0.0002,8.71795e-05,0,2.13675e-05,0.000157791,1.1396e-06
77,0.0118,0.00248276,0.000222222,0.000123077,0,0.000192308,0.000131492,1.1396e-06
78,0.0116,0.00248276,0.000755556,0.000112821,6.15385e-05,0.000192308,0.000144642,1.7094e-06
79,0.0116,0.00227586,0.00137778,0.000651282,0,0.000769231,0.000841552,2.2792e-06
80,0.0114,0.0022069,0.00155556,0.00138462,1.53846e-05,0.00123932,0.00136752,2.2792e-06
81,0.0116,0.0022069,0.00113333,0.00161026,0,0.00134615,0.00136752,2.849e-06
82,0.0116,0.00255172,0.000688889,0.00115897,0,0.00149573,0.00164366,2.99145e-06
83,0.0116,0.00255172,0.000644444,0.000764103,0,0.000641026,0.000604865,2.99145e-06
84,0.0114,0.00268966,0.000377778,0.000512821,0,0.000662393,0.000723208,2.99145e-06
85,0.011,0.00262069,0.000222222,0.000558974,0,0.000405983,0.000447074,2.99145e-06
86,0.0112,0.00262069,0.000377778,0.000589744,0,0.000512821,0.000499671,2.99145e-06
87,0.0112,0.00275862,0,0.000476923,0,0.00025641,0.00034188,2.99145e-06
88,0.011,0.00282759,0,0.000179487,0,0.000149573,7.88955e-05,2.849e-06
89,0.0108,0.00282759,0,0.000179487,0,0.000106838,0.000223537,2.849e-06
90,0.0108,0.00289655,0,2.05128e-05,0,2.13675e-05,2.62985e-05,2.849e-06
91,0.0106,0.00303448,0,0,0,2.13675e-05,0,2.70655e-06
92,0.0106,0.00282759,2.22222e-05,0,0,0,0,2.70655e-06
93,0.0108,0.00275862,4.44444e-05,0.000117949,0,0.000128205,0.000144642,2.5641e-06
94,0.0108,0.00289655,6.66667e-05,4.10256e-05,0,4.2735e-05,0,2.42165e-06
95,0.0114,0.00296552,4.44444e-05,0,0,0,0,2.42165e-06
96,0.0112,0.00303448,0.000266667,4.10256e-05,0,0.000149573,3.94477e-05,2.2792e-06
97,0.0112,0.00303448,0.000222222,0.000123077,0,0.00017094,0.000223537,2.42165e-06
98,0.0116,0.00331034,0.000377778,0.000317949,3.07692e-05,0.000213675,0.000210388,2.42165e-06
99,0.0114,0.00351724,0.000466667,0.000507692,0,0.000598291,0.00052597,2.70655e-06
100,0.0112,0.00365517,0.000266667,0.000769231,3.07692e-05,0.000982906,0.000749507,3.56125e-06
101,0.0112,0.00372414,0.000644444,0.000579487,0,0.000940171,0.000815253,3.7037e-06
102,0.0114,0.00393103,0.000288889,0.000984615,0,0.00100427,0.000986193,3.56125e-06
103,0.0114,0.00406897,0.001,0.000676923,0,0.000598291,0.000578567,3.4188e-06
104,0.0114,0.00393103,0.00113333,0.00108205,0,0.00106838,0.00086785,3.27635e-06
105,0.0114,0.004,0.00117778,0.000917949,0,0.00119658,0.00126233,3.4188e-06
106,0.0116,0.004,0.00106667,0.00100513,0,0.000897436,0.00109139,3.56125e-06
107,0.0118,0.0037931,0.00166667,0.00103077,0,0.00123932,0.000788955,3.7037e-06
108,0.0118,0.00365517,0.000955556,0.00112308,7.69231e-05,0.00113248,0.000999343,3.9886e-06
109,0.0118,0.00351724,0.000688889,0.000789744,0.000123077,0.000854701,0.000880999,5.84046e-06
