time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0098,0,0,0,0,0,0,0
1,0.01,0,0,0,0,0,0,0
2,0.0102,0,0,0,0,0,0,0
3,0.0104,6.89655e-05,0,0,0,0,0,0
4,0.0104,0.000206897,0,0,0,0,0,0
5,0.0104,0.000137931,4.44444e-05,1.53846e-05,0,0,1.31492e-05,0
6,0.0106,0.000137931,0.000133333,7.17949e-05,0,2.13675e-05,9.20447e-05,0
7,0.0108,0.000137931,0.000555556,0.000389744,0,0.000320513,0.000433925,0
8,0.0108,0.000206897,0.000288889,0.000630769,0,0.000534188,0.000723208,8.54701e-07
9,0.0108,0.000206897,0.0004,0.000348718,0,0.000576923,0.000420776,9.97151e-07
10,0.0112,0.000206897,0.000466667,0.000235897,0,0.000192308,0.000276134,9.97151e-07
11,0.0114,0.000206897,0.00164444,0.000769231,0,0.000641026,0.000552268,9.97151e-07
12,0.0114,0.000206897,0.0032,0.00149744,3.07692e-05,0.00136752,0.00155161,1.7094e-06
13,0.0114,0.000206897,0.00344444,0.00318462,1.53846e-05,0.00292735,0.00326101,2.42165e-06
14,0.0114,0.000275862,0.00395556,0.00327692,6.15385e-05,0.00350427,0.00282709,3.4188e-06
15,0.0116,0.000275862,0.0042,0.00270769,3.07692e-05,0.00237179,0.00287968,5.41311e-06
16,0.0116,0.000275862,0.00315556,0.00241538,0,0.00254274,0.00268245,6.41026e-06
17,0.0116,0.000275862,0.00313333,0.00232821,0,0.00260684,0.00241946,6.69516e-06
18,0.0116,0.000344828,0.00317778,0.00313846,4.61538e-05,0.00294872,0.00306377,7.40741e-06
19,0.0116,0.000344828,0.00373333,0.00273846,0.000215385,0.00311966,0.00268245,9.68661e-06
20,0.0116,0.000344828,0.00244444,0.00284615,0.000230769,0.00307692,0.00307692,1.46724e-05
21,0.0116,0.000344828,0.00226667,0.00267692,0.000246154,0.00264957,0.00272189,1.82336e-05
22,0.0118,0.000344828,0.00237778,0.00192308,0.000307692,0.00179487,0.00201183,2.23647e-05
23,0.011,0.000551724,0.00228889,0.00212308,0.0002,0.00192308,0.00228797,2.70655e-05
24,0.011,0.00062069,0.00286667,0.00255385,0.000369231,0.00232906,0.00241946,3.10541e-05
25,0.0114,0.000689655,0.00277778,0.00286154,0.000292308,0.00267094,0.00277449,3.76068e-05
26,0.0114,0.000689655,0.00226667,0.00276923,0.000261538,0.00324786,0.00280079,4.18803e-05
27,0.0114,0.00062069,0.00111111,0.00247179,0.000123077,0.00241453,0.00239316,4.51567e-05
28,0.0116,0.000551724,0.000622222,0.00175897,0.000153846,0.00160256,0.00159106,4.7151e-05
29,0.0112,0.000689655,0.000244444,0.000969231,0.000246154,0.000833333,0.000973044,5.05698e-05
30,0.0112,0.000758621,0.000222222,0.000405128,0.000353846,0.000641026,0.000644313,5.37037e-05
31,0.0112,0.000758621,8.88889e-05,0.000215385,0.000507692,0.000235043,0.000223537,5.88319e-05
32,0.0114,0.000827586,0.000333333,0.000374359,0.000492308,0.000277778,0.000236686,6.89459e-05
33,0.0116,0.000758621,0.000155556,0.000394872,0.000246154,0.000277778,0.000433925,7.47863e-05
34,0.0118,0.000758621,0,0.000220513,0.000353846,0.00017094,0.00017094,7.87749e-05
35,0.0118,0.000758621,0,0.000205128,0.000553846,0.000235043,0.000223537,8.46154e-05
36,0.0118,0.000758621,0,7.69231e-05,0.000507692,0.000106838,7.88955e-05,9.33048e-05
37,0.0118,0.000758621,0,6.66667e-05,0.000738462,4.2735e-05,2.62985e-05,0.000103989
38,0.012,0.000758621,0,5.12821e-06,0.000692308,2.13675e-05,1.31492e-05,0.000117236
39,0.012,0.000965517,0,0,0.000692308,0,0,0.000127208
40,0.0122,0.000896552,0,0,0.000523077,0,0,0.000137322
41,0.0122,0.000965517,0,0,0.00118462,0,0,0.000148148
42,0.0122,0.00103448,0,0,0.000984615,0,0,0.000165812
43,0.0118,0.00117241,0,0,0.00112308,0,0,0.000179202
44,0.012,0.00103448,0,5.12821e-05,0.000707692,6.41026e-05,3.94477e-05,0.000189459
45,0.012,0.000965517,0,4.61538e-05,0.000430769,2.13675e-05,5.2597e-05,0.000196581
46,0.0122,0.000965517,0,2.5641e-05,0.000461538,4.2735e-05,1.31492e-05,0.000198718
