time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0104,0,0,0,0,0,0,0
1,0.0104,0,0,0,0,0,0,0
2,0.0104,0,0,0,0,0,0,0
3,0.0104,0,0,0,0,0,0,0
4,0.0106,0,0,0,0,0,0,0
5,0.0104,0,2.22222e-05,0,0,0,0,0
6,0.0102,6.89655e-05,0,0,0,0,0,0
7,0.0102,0.000137931,0,0,0,0,0,0
8,0.01,0.000137931,0,0,0,0,0,0
9,0.01,0.000137931,0,0,0,0,0,0
10,0.0098,0.000275862,0,0,0,0,0,0
11,0.0096,0.000482759,0,0,0,0,0,0
12,0.0096,0.000482759,0,0,0,0,0,0
13,0.0096,0.000482759,0,0,0,0,0,0
14,0.0098,0.000482759,0,1.53846e-05,0,0,1.31492e-05,0
15,0.0096,0.000551724,0,0,0,0,0,0
16,0.0094,0.000689655,0,0,0,0,0,0
17,0.0092,0.000689655,0,5.12821e-06,0,0,0,0
18,0.0092,0.000689655,0,0,0,0,0,0
19,0.0094,0.000689655,0,0,0,0,0,0
20,0.0096,0.000689655,8.88889e-05,4.61538e-05,0,2.13675e-05,3.94477e-05,0
21,0.0096,0.000689655,0.000488889,0.000282051,0,0.000405983,0.000249836,9.97151e-07
22,0.0098,0.000689655,0.000155556,0.000230769,0,0.000384615,0.000328731,9.97151e-07
23,0.01,0.000827586,0.000288889,0.000174359,0,0.000106838,0.00017094,9.97151e-07
24,0.01,0.000827586,0.000333333,0.000528205,0,0.000534188,0.000447074,1.1396e-06
25,0.0102,0.000827586,0.000222222,0.000379487,0,0.000598291,0.00035503,1.1396e-06
26,0.0102,0.000758621,6.66667e-05,0.000317949,0,6.41026e-05,0.00035503,1.1396e-06
27,0.0102,0.000689655,0.000133333,0.000164103,0,0.000213675,0.000118343,1.1396e-06
28,0.0104,0.00062069,2.22222e-05,0.000123077,0,0.000128205,5.2597e-05,1.1396e-06
29,0.0104,0.00062069,0.000133333,0.000174359,0,0.000213675,0.000184089,1.1396e-06
30,0.0102,0.000689655,0,6.15385e-05,0,0.000106838,0.000131492,1.1396e-06
31,0.0102,0.000689655,0,5.12821e-06,0,0,0,1.1396e-06
32,0.0104,0.000689655,0,0,0,0,0,1.1396e-06
33,0.0104,0.000758621,0,0,0,0,0,1.1396e-06
34,0.011,0.000758621,0,0,0,0,0,9.97151e-07
35,0.011,0.000758621,0,5.12821e-06,0,2.13675e-05,0,9.97151e-07
36,0.0106,0.000896552,0,0,0,0,0,9.97151e-07
37,0.0104,0.000965517,0,0,0,0,0,9.97151e-07
38,0.0102,0.00110345,0,0,0,0,0,8.54701e-07
39,0.0104,0.000965517,0.000444444,0.000123077,0,0.000192308,0.000144642,9.97151e-07
40,0.0102,0.00103448,0.000133333,0.000102564,0,0.00025641,0.00017094,8.54701e-07
41,0.01,0.00117241,0.000333333,0.000117949,0,0.000106838,0.000223537,8.54701e-07
42,0.01,0.00117241,0.000444444,0.000317949,0,0.000277778,0.00034188,8.54701e-07
43,0.01,0.00117241,0.000311111,0.000430769,0,0.00017094,0.000368179,7.12251e-07
44,0.0104,0.00103448,0.000511111,0.000769231,0,0.000769231,0.000723208,7.12251e-07
45,0.0104,0.00103448,0.000155556,0.000389744,0,0.000235043,0.000447074,7.12251e-07
46,0.0102,0.00124138,0,0.000179487,0,0.000128205,0.000118343,7.12251e-07
47,0.0102,0.00110345,0.000311111,0.000271795,1.53846e-05,0.00017094,0.00035503,1.85185e-06
48,0.0104,0.00131034,0.000111111,0.000215385,0,0.000277778,0.00017094,2.42165e-06
49,0.0102,0.00137931,0,3.58974e-05,0,8.54701e-05,3.94477e-05,2.2792e-06
50,0.0102,0.00137931,0,7.17949e-05,0,2.13675e-05,1.31492e-05,2.2792e-06
51,0.0102,0.00137931,0,5.12821e-06,0,0,1.31492e-05,2.2792e-06
52,0.0102,0.00131034,0,0,0,0,0,2.2792e-06
53,0.0102,0.00131034,0,0,0,0,0,2.13675e-06
54,0.0104,0.00131034,0,0,0,0,0,2.13675e-06
55,0.0104,0.00131034,0,0,0,0,0,2.13675e-06
56,0.0102,0.00137931,0,0,0,0,0,2.13675e-06
57,0.0104,0.00151724,0,0,0,0,0,2.13675e-06
58,0.0106,0.00165517,0,0,0,0,0,2.5641e-06
59,0.0106,0.0017931,0,0,0,0,0,2.5641e-06
60,0.0104,0.002,0,0,0,0,0,2.42165e-06
61,0.0108,0.00206897,0,0,0,0,0,2.2792e-06
62,0.011,0.00206897,0,0,0,0,0,2.13675e-06
63,0.0108,0.00213793,0,0,0,0,0,1.9943e-06
64,0.0108,0.00234483,0,0,0,0,0,1.9943e-06
65,0.0106,0.00241379,0,1.02564e-05,0,2.13675e-05,1.31492e-05,1.9943e-06
66,0.0106,0.00275862,0,0,0,0,0,1.9943e-06
67,0.0102,0.00275862,0.000222222,0,0,0,1.31492e-05,1.9943e-06
68,0.0102,0.00262069,0.0006,0.000246154,0,0.000320513,0.000249836,1.9943e-06
69,0.0102,0.00275862,0.000644444,0.000389744,0,0.000683761,0.000460224,1.9943e-06
70,0.0104,0.00275862,0.000844444,0.00104615,0,0.00104701,0.000999343,1.9943e-06
71,0.0102,0.00282759,0.000711111,0.000712821,0,0.000470085,0.000946746,1.9943e-06
72,0.0102,0.00275862,0.000622222,0.000805128,0,0.000619658,0.000841552,1.9943e-06
73,0.0102,0.00282759,0.001,0.00134872,0,0.00119658,0.00139382,1.9943e-06
74,0.0102,0.00289655,0.00106667,0.000805128,0,0.000918803,0.000894149,2.42165e-06
75,0.0102,0.00289655,0.00131111,0.00112308,0,0.000940171,0.00120973,2.42165e-06
76,0.01,0.00296552,0.00115556,0.00100513,6.15385e-05,0.00102564,0.000907298,2.70655e-06
77,0.0102,0.00289655,0.00128889,0.00115897,0,0.000854701,0.00102564,3.56125e-06
78,0.0104,0.00296552,0.00106667,0.00102564,0,0.00113248,0.00117028,3.7037e-06
79,0.0108,0.00282759,0.000911111,0.00112308,0,0.00126068,0.00120973,4.5584e-06
80,0.0108,0.00310345,0.000822222,0.00133846,0,0.00106838,0.00106509,4.5584e-06
81,0.0106,0.00317241,0.000644444,0.000964103,0,0.00100427,0.000775805,4.2735e-06
82,0.0104,0.00344828,0.000866667,0.000974359,0,0.00111111,0.00128863,4.2735e-06
83,0.0098,0.00344828,0.000444444,0.000779487,0,0.000918803,0.00086785,4.41595e-06
84,0.0098,0.00324138,0.000755556,0.000825641,0,0.000769231,0.000618014,4.2735e-06
85,0.0096,0.00324138,0.00133333,0.0016359,0,0.00147436,0.00127548,4.2735e-06
86,0.0094,0.00317241,0.000711111,0.0011641,1.53846e-05,0.000961538,0.00124918,4.5584e-06
87,0.0092,0.00317241,0.00106667,0.000866667,0,0.000619658,0.000710059,4.5584e-06
88,0.009,0.00324138,0.00217778,0.00150769,0,0.00160256,0.00124918,4.41595e-06
89,0.0094,0.00317241,0.00117778,0.00158462,0,0.00149573,0.00123603,4.41595e-06
90,0.0094,0.00317241,0.000977778,0.00106154,4.61538e-05,0.00104701,0.00139382,4.5584e-06
91,0.0092,0.00317241,0.000888889,0.00134359,1.53846e-05,0.00132479,0.00122288,5.55556e-06
92,0.0088,0.00337931,0.000844444,0.00132308,4.61538e-05,0.00121795,0.00106509,6.83761e-06
93,0.0088,0.00344828,0.000888889,0.00156923,0,0.00190171,0.00152531,7.69231e-06
94,0.0088,0.00331034,0.000822222,0.00138462,0,0.00141026,0.00153846,7.69231e-06
95,0.009,0.00331034,0.000844444,0.00104103,0,0.000982906,0.00122288,7.40741e-06
96,0.009,0.00310345,0.000555556,0.000846154,0,0.000598291,0.000828402,7.83476e-06
97,0.0092,0.00296552,0.000733333,0.000733333,0,0.000576923,0.00086785,7.97721e-06
98,0.0092,0.00303448,0.00106667,0.000702564,6.15385e-05,0.000576923,0.000631164,7.97721e-06
99,0.0092,0.00275862,0.000266667,0.000517949,0.000415385,0.000470085,0.000512821,1.18234e-05
100,0.0092,0.00296552,0.000555556,0.000405128,0.000738462,0.000405983,0.000394477,1.93732e-05
101,0.0092,0.00289655,0.000555556,0.000512821,0.000953846,0.000491453,0.000447074,3.30484e-05
102,0.009,0.00289655,0.000777778,0.000446154,0.00121538,0.000576923,0.000499671,5.52707e-05
103,0.009,0.00310345,0.00126667,0.000692308,0.00113846,0.000619658,0.000815253,7.80627e-05
104,0.0086,0.00337931,0.00277778,0.00140513,0.000523077,0.00119658,0.00127548,9.11681e-05
105,0.0086,0.00358621,0.0028,0.00210256,0.000446154,0.00239316,0.00248521,9.91453e-05
106,0.0084,0.00365517,0.00271111,0.00210256,0.000384615,0.00220085,0.00224852,0.00010584
107,0.0086,0.00344828,0.00277778,0.00218974,0.000369231,0.00237179,0.00216963,0.000112251
108,0.0088,0.00344828,0.00304444,0.00248205,0.000307692,0.00217949,0.00239316,0.000117521
109,0.0088,0.00344828,0.00297778,0.00297436,1.53846e-05,0.00303419,0.00277449,0.000119373
110,0.009,0.00344828,0.0024,0.00239487,1.53846e-05,0.00207265,0.00232742,0.000118519
111,0.0088,0.00358621,0.00173333,0.00233333,0,0.00235043,0.00199869,0.000116952
112,0.0088,0.00351724,0.00202222,0.0022,0,0.00237179,0.00224852,0.000114815
113,0.0088,0.00344828,0.00117778,0.00210769,7.69231e-05,0.00198718,0.00194609,0.000113818
114,0.0088,0.00331034,0.00133333,0.00203077,0.000153846,0.00200855,0.00227482,0.000114957
115,0.0086,0.00337931,0.000622222,0.00117949,0.000230769,0.000897436,0.00102564,0.000117236
116,0.0086,0.00337931,0.000333333,0.000758974,0.000384615,0.000726496,0.000565417,0.000118803
117,0.0082,0.00372414,0.000222222,0.000441026,0.000353846,0.00042735,0.000591716,0.000122222
118,0.0084,0.00386207,0,0.000317949,0.000461538,0.000149573,0.000262985,0.000125926
119,0.0086,0.00365517,8.88889e-05,0.000184615,0.000430769,0.000235043,0.000249836,0.000131766
120,0.0086,0.00365517,0.000111111,0.000235897,0.000507692,0.00025641,0.000223537,0.000138034
121,0.0088,0.00365517,8.88889e-05,0.0002,4.61538e-05,0.00017094,0.000197239,0.000140883
122,0.0084,0.0037931,6.66667e-05,7.69231e-05,1.53846e-05,4.2735e-05,6.57462e-05,0.000139316
123,0.0084,0.00393103,0.000155556,0,0,2.13675e-05,1.31492e-05,0.000136895
124,0.0086,0.00406897,0,9.23077e-05,0,4.2735e-05,3.94477e-05,0.00013433
125,0.0086,0.00406897,4.44444e-05,4.61538e-05,0,4.2735e-05,3.94477e-05,0.000130912
126,0.0086,0.00413793,2.22222e-05,9.23077e-05,0,0.000106838,7.88955e-05,0.000128348
127,0.0086,0.00413793,0.000111111,0.00034359,0,0.000213675,0.000249836,0.000125783
128,0.0086,0.004,2.22222e-05,0.000476923,0,0.000512821,0.000381328,0.000123219
129,0.0084,0.0042069,0.000333333,0.000210256,0,0.000277778,0.000144642,0.00012037
130,0.0084,0.00413793,0.000466667,0.00025641,6.15385e-05,0.000277778,0.000223537,0.000118519
131,0.0084,0.004,0.0004,0.000379487,0.0002,0.000534188,0.000302433,0.000119231
132,0.0084,0.00413793,0.000644444,0.000523077,0.000138462,0.00042735,0.00069691,0.000120085
133,0.0082,0.00441379,0.000333333,0.000353846,6.15385e-05,0.000405983,0.000302433,0.000119943
134,0.0084,0.00455172,0,0.000241026,7.69231e-05,6.41026e-05,0.000223537,0.000118661
135,0.0084,0.00455172,6.66667e-05,5.12821e-05,9.23077e-05,6.41026e-05,5.2597e-05,0.000117521
136,0.0086,0.00441379,0,7.69231e-05,1.53846e-05,0.000106838,9.20447e-05,0.000118519
