time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0114,0,0,0,0,0,0,0
1,0.0116,0,0,0,0,0,0,0
2,0.0118,0,0,0,0,0,0,0
3,0.0118,0,0,0,0,0,0,0
4,0.0118,0,0,0,0,0,0,0
5,0.0118,6.89655e-05,0,0,0,0,0,0
6,0.0112,0.000275862,0,0,0,0,0,0
7,0.011,0.000482759,0,0,0,0,0,0
8,0.011,0.000482759,0,0,0,0,0,0
9,0.011,0.000413793,0,0,0,0,0,0
10,0.011,0.000482759,0,0,0,0,0,0
11,0.011,0.000482759,0,0,0,0,0,0
12,0.0114,0.000482759,0,0,0,0,0,0
13,0.0116,0.000482759,6.66667e-05,8.20513e-05,0,6.41026e-05,0.000105194,0
14,0.0116,0.000482759,0.000133333,0.000107692,0,6.41026e-05,0.000131492,0
15,0.0116,0.000482759,0,0.000117949,0,6.41026e-05,0.000131492,0
16,0.0118,0.000413793,0,6.15385e-05,0,2.13675e-05,2.62985e-05,0
17,0.0118,0.000344828,0,1.02564e-05,0,0,1.31492e-05,0
18,0.0116,0.000482759,0,4.61538e-05,0,0,5.2597e-05,0
19,0.0118,0.000413793,4.44444e-05,7.17949e-05,0,4.2735e-05,0,0
20,0.0114,0.000482759,6.66667e-05,8.20513e-05,0,0.000128205,0.000131492,0
21,0.0116,0.000413793,0,8.71795e-05,0,0.000106838,6.57462e-05,0
22,0.012,0.000413793,0,4.10256e-05,0,4.2735e-05,2.62985e-05,0
23,0.0122,0.000482759,0,0,0,0,0,0
24,0.0124,0.000413793,2.22222e-05,0,0,0,0,0
25,0.0126,0.000413793,0.000111111,0,0,0,0,0
26,0.0124,0.000413793,0,1.53846e-05,0,2.13675e-05,1.31492e-05,0
27,0.0126,0.000413793,0,2.5641e-05,0,2.13675e-05,2.62985e-05,0
28,0.0124,0.000551724,0,0,0,0,0,0
29,0.0128,0.000551724,0,0,0,0,0,0
30,0.0128,0.00062069,0,0,0,0,0,0
31,0.0128,0.00062069,0,0,0,0,0,0
32,0.0128,0.000551724,0,0,0,0,0,0
33,0.0128,0.00062069,0,5.12821e-05,0,2.13675e-05,0,0
34,0.0126,0.000689655,0,2.05128e-05,0,2.13675e-05,2.62985e-05,0
35,0.0126,0.00062069,0,7.17949e-05,0,0.000149573,5.2597e-05,0
36,0.0126,0.00062069,0,3.58974e-05,0,8.54701e-05,6.57462e-05,0
37,0.0126,0.000551724,0,3.58974e-05,0,4.2735e-05,3.94477e-05,0
38,0.0126,0.000689655,0,0.000102564,0,0.000128205,5.2597e-05,0
39,0.0122,0.000896552,0,0,0,0,0,0
40,0.0124,0.000965517,0,0,0,0,0,0
41,0.0124,0.000965517,0,0,0,0,0,0
42,0.0124,0.00103448,0,0,0,0,0,0
43,0.0128,0.00103448,0,0,0,0,0,0
44,0.0122,0.00131034,0,0,0,0,0,0
45,0.012,0.00137931,0,0,0,0,0,0
46,0.0118,0.00151724,0,0,0,0,0,0
47,0.0118,0.00158621,0,0,0,0,0,0
48,0.0118,0.00165517,0,7.69231e-05,0,4.2735e-05,2.62985e-05,0
49,0.0116,0.00186207,8.88889e-05,0.000128205,0,8.54701e-05,2.62985e-05,0
50,0.0116,0.00165517,0,6.15385e-05,0,2.13675e-05,0.000105194,1.4245e-07
51,0.0116,0.00172414,0,5.12821e-06,0,2.13675e-05,2.62985e-05,1.4245e-07
52,0.0118,0.00172414,0,0,0,0,0,1.4245e-07
53,0.0118,0.00165517,0,0,0,0,0,1.4245e-07
54,0.012,0.0017931,0,0,0,0,0,1.4245e-07
55,0.012,0.00193103,0,0,0,0,0,1.4245e-07
56,0.0118,0.00186207,0.000177778,7.69231e-05,0,2.13675e-05,0.000131492,1.4245e-07
57,0.0118,0.0017931,4.44444e-05,7.69231e-05,1.53846e-05,2.13675e-05,0.000105194,1.1396e-06
58,0.012,0.00186207,0,0,0,0,0,1.28205e-06
59,0.0122,0.00186207,2.22222e-05,6.15385e-05,0,0,3.94477e-05,1.28205e-06
60,0.0124,0.00193103,0,2.05128e-05,0,0,3.94477e-05,1.1396e-06
61,0.0122,0.00206897,0,0,0,0,0,1.1396e-06
62,0.0122,0.00227586,0,0,0,0,0,1.1396e-06
63,0.0118,0.00248276,0,0,0,0,0,1.1396e-06
64,0.0116,0.00248276,0,0,0,0,0,1.1396e-06
65,0.0118,0.00248276,0,0,0,0,0,1.1396e-06
