time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.01,0,0,0,0,0,0,0
1,0.0098,6.89655e-05,0,0,0,0,0,0
2,0.0098,6.89655e-05,0,0,0,0,0,0
3,0.0096,0.000137931,0,0,0,0,0,0
4,0.0096,0.000137931,0,0,0,0,0,0
5,0.0096,0.000137931,0,0,0,0,0,0
6,0.0096,0.000137931,0,0,0,0,0,0
7,0.0096,6.89655e-05,0,0,0,0,0,0
8,0.0096,6.89655e-05,0,0,0,0,0,0
9,0.0094,0.000137931,0,0,0,0,0,0
10,0.0098,0.000137931,0,0,0,0,0,0
11,0.01,0.000206897,0,0,0,0,0,0
12,0.0102,0.000137931,2.22222e-05,7.17949e-05,1.53846e-05,4.2735e-05,6.57462e-05,4.2735e-07
13,0.0102,0.000206897,0,0,0,0,0,2.849e-07
14,0.0104,0.000206897,0,0,0,0,0,2.849e-07
15,0.0102,0.000275862,0,0,0,0,0,2.849e-07
16,0.0098,0.000344828,0,0,0,0,0,2.849e-07
17,0.0096,0.000344828,0,0,0,0,0,2.849e-07
18,0.0096,0.000344828,0,0,0,0,0,2.849e-07
19,0.0096,0.000413793,0,0,0,0,0,2.849e-07
20,0.0096,0.000689655,0,0,0,0,0,2.849e-07
21,0.0098,0.000689655,0,0,0,0,0,2.849e-07
22,0.01,0.000689655,0,0,0,0,0,2.849e-07
23,0.01,0.000551724,0,2.05128e-05,0,4.2735e-05,3.94477e-05,2.849e-07
24,0.01,0.00062069,0,0,0,0,0,2.849e-07
25,0.01,0.00062069,0,0,0,0,0,2.849e-07
26,0.01,0.000482759,0,5.12821e-06,0,4.2735e-05,1.31492e-05,2.849e-07
27,0.01,0.000482759,0,0,0,0,0,2.849e-07
28,0.01,0.000482759,0,0,0,0,0,2.849e-07
29,0.0098,0.000551724,0,0,0,0,0,2.849e-07
30,0.0098,0.000551724,0,0,0,0,0,2.849e-07
31,0.0098,0.00062069,0,0,0,0,0,2.849e-07
32,0.0098,0.00062069,0,0,0,0,0,2.849e-07
33,0.01,0.000758621,0,0,0,0,0,2.849e-07
34,0.0102,0.000758621,0,0,0,0,0,2.849e-07
35,0.01,0.000827586,0,3.58974e-05,0,2.13675e-05,7.88955e-05,2.849e-07
36,0.0098,0.000896552,0,0,0,0,0,2.849e-07
37,0.01,0.000896552,0,0,0,0,0,2.849e-07
38,0.01,0.00103448,0,0,0,0,0,2.849e-07
39,0.0098,0.00124138,0,0,0,0,0,2.849e-07
40,0.0098,0.00144828,0,0,0,0,0,2.849e-07
41,0.01,0.00137931,0,5.12821e-05,0,2.13675e-05,5.2597e-05,2.849e-07
42,0.01,0.00137931,0,3.58974e-05,0,0,0,2.849e-07
43,0.01,0.00144828,0,1.02564e-05,0,0,0,2.849e-07
44,0.0102,0.00158621,0,0,0,0,0,2.849e-07
45,0.0102,0.00172414,0,0,0,0,0,2.849e-07
46,0.0104,0.00172414,0,0,0,0,0,2.849e-07
47,0.011,0.00165517,0.000133333,3.58974e-05,0,8.54701e-05,5.2597e-05,2.849e-07
48,0.0112,0.00158621,0,0,0,2.13675e-05,0,2.849e-07
49,0.011,0.00165517,0,0,0,2.13675e-05,0,2.849e-07
50,0.0112,0.00158621,4.44444e-05,2.5641e-05,0,4.2735e-05,1.31492e-05,2.849e-07
51,0.0118,0.00158621,0.000311111,1.02564e-05,0,2.13675e-05,0,2.849e-07
52,0.012,0.00144828,6.66667e-05,0.000169231,0,0.000106838,0.000144642,2.849e-07
53,0.012,0.00151724,0.000266667,0.000148718,0,4.2735e-05,0.000249836,2.849e-07
54,0.012,0.00158621,0.000488889,0.000102564,0,8.54701e-05,5.2597e-05,2.849e-07
55,0.0126,0.00172414,0.000822222,0.000666667,0,0.000534188,0.000683761,2.849e-07
56,0.0128,0.00172414,0.000711111,0.000641026,0,0.000534188,0.000710059,2.849e-07
57,0.0128,0.00165517,0.000577778,0.000605128,0,0.000662393,0.000473373,2.849e-07
58,0.0128,0.00165517,0.0004,0.000569231,0,0.000277778,0.000499671,7.12251e-07
59,0.013,0.00151724,0.000244444,0.000461538,0,0.000405983,0.000407627,9.97151e-07
60,0.013,0.00158621,0.000266667,0.00025641,0,0.00025641,0.000249836,9.97151e-07
61,0.0128,0.00158621,0.000488889,0.000641026,0,0.00034188,0.000657462,9.97151e-07
62,0.0126,0.00151724,0.000488889,0.000353846,0,0.000363248,0.000447074,9.97151e-07
63,0.0128,0.00137931,0.000777778,0.000917949,0,0.00102564,0.00069691,9.97151e-07
64,0.0128,0.00137931,0.000533333,0.000984615,0,0.00119658,0.000894149,9.97151e-07
65,0.0126,0.00137931,0.000444444,0.000774359,0,0.000662393,0.000670611,9.97151e-07
66,0.0126,0.00137931,0.000577778,0.000471795,0,0.000811966,0.000670611,1.56695e-06
67,0.0126,0.00137931,0.00102222,0.000523077,0,0.000619658,0.000591716,1.56695e-06
68,0.0126,0.00131034,0.001,0.000805128,0,0.000726496,0.000933596,1.56695e-06
