time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.0096,0,0,0,0,0,0,0
1,0.0096,0,0,0,0,0,0,0
2,0.0096,0,0,0,0,0,0,0
3,0.0098,0,0,0,0,0,0,0
4,0.0096,6.89655e-05,0,0,0,0,0,0
5,0.01,6.89655e-05,0,0,0,0,0,0
6,0.01,0,0,0,0,0,0,0
7,0.01,0,0,0,0,0,0,0
8,0.01,0,0,0,0,0,0,0
9,0.0096,0.000137931,0,0,0,0,0,0
10,0.0098,0.000206897,0,0,0,0,0,0
11,0.01,0.000275862,0,0,0,0,0,0
12,0.01,0.000344828,0,0,0,0,0,0
13,0.0102,0.000344828,0,0,0,0,0,0
14,0.0102,0.000344828,0,0,0,0,0,0
15,0.0106,0.000344828,0,0,0,0,0,0
16,0.0106,0.000482759,0,0,0,0,0,0
17,0.0106,0.000482759,0,0,0,0,0,0
18,0.0104,0.000482759,4.44444e-05,0,0,0,0,0
19,0.0104,0.000482759,0,1.53846e-05,0,4.2735e-05,1.31492e-05,0
20,0.0106,0.000413793,0.000177778,2.5641e-05,0,2.13675e-05,2.62985e-05,0
21,0.0106,0.000413793,0,3.07692e-05,0,8.54701e-05,3.94477e-05,0
22,0.0106,0.000344828,0,0,0,0,0,0
23,0.0104,0.000413793,0,0,0,0,0,0
24,0.0104,0.000344828,0.000177778,5.12821e-06,0,0,1.31492e-05,0
25,0.0104,0.000344828,0.0004,0.000415385,0,0.000405983,0.000197239,0
26,0.0104,0.000275862,6.66667e-05,0.000687179,0,0.000405983,0.000578567,4.2735e-07
27,0.0104,0.000344828,0.000311111,0.000312821,0,0.00042735,0.000407627,4.2735e-07
28,0.0102,0.000482759,0.00104444,0.000394872,6.15385e-05,0.00034188,0.00034188,8.54701e-07
29,0.0106,0.000413793,0.00111111,0.000861538,4.61538e-05,0.000747863,0.000670611,1.4245e-06
30,0.0108,0.000413793,0.00142222,0.00124103,3.07692e-05,0.00128205,0.00118343,4.2735e-06
31,0.0112,0.000413793,0.00204444,0.00134359,4.61538e-05,0.00173077,0.00131492,5.27066e-06
32,0.0112,0.000482759,0.00235556,0.00153846,0.000215385,0.00160256,0.00151216,6.55271e-06
33,0.0112,0.000413793,0.00253333,0.0021641,0.000153846,0.00222222,0.00215648,8.83191e-06
34,0.0112,0.000413793,0.00257778,0.00264103,0.000261538,0.00286325,0.00289283,1.2963e-05
35,0.0114,0.000413793,0.00322222,0.00233846,0.000446154,0.00232906,0.00236686,2.29345e-05
36,0.0112,0.000413793,0.00324444,0.0025641,0.000261538,0.0025,0.00265615,2.90598e-05
37,0.0112,0.000344828,0.00375556,0.00262051,0.000246154,0.00284188,0.00272189,3.33333e-05
38,0.011,0.000413793,0.00175556,0.00239487,7.69231e-05,0.00267094,0.00274819,3.61823e-05
39,0.0112,0.000413793,0.00244444,0.00173333,0.000246154,0.00196581,0.00190664,3.81766e-05
40,0.011,0.000482759,0.00377778,0.00306667,0.000169231,0.00282051,0.00306377,4.11681e-05
41,0.011,0.000413793,0.00406667,0.00324615,0.000292308,0.00324786,0.00382643,4.85755e-05
42,0.011,0.000482759,0.0042,0.00430769,0.000246154,0.00418803,0.00390533,5.29915e-05
43,0.0114,0.000482759,0.00484444,0.00439487,0.0002,0.00442308,0.00422091,5.66952e-05
44,0.011,0.00062069,0.00322222,0.00435385,0.000353846,0.00457265,0.00460224,6.03989e-05
45,0.011,0.00062069,0.00268889,0.00413846,0.000261538,0.00429487,0.00401052,6.4245e-05
46,0.0108,0.000758621,0.00413333,0.00370769,0.000246154,0.00358974,0.00391847,6.63818e-05
47,0.0108,0.000758621,0.00282222,0.00364615,0.000338462,0.00346154,0.00336621,7.26496e-05
48,0.0106,0.000758621,0.00208889,0.00310769,0.000507692,0.00294872,0.00326101,7.89174e-05
49,0.0106,0.000689655,0.00264444,0.00213333,0.000430769,0.00202991,0.00210388,9.08832e-05
50,0.0106,0.000482759,0.00453333,0.00338462,0.000738462,0.00344017,0.00314267,0.000101282
51,0.011,0.00062069,0.00422222,0.00382051,0.000646154,0.00352564,0.00394477,0.000111111
52,0.011,0.00062069,0.00264444,0.0038,0.000615385,0.00361111,0.00348455,0.000123789
53,0.011,0.00062069,0.00271111,0.0031641,0.000369231,0.00262821,0.00369494,0.000129915
54,0.0112,0.000551724,0.00168889,0.00289744,0.000184615,0.00316239,0.00305062,0.000133333
55,0.0112,0.00062069,0.00155556,0.00186154,0.000276923,0.00192308,0.00210388,0.000137322
56,0.0116,0.000551724,0.00204444,0.00197949,0.000292308,0.00196581,0.00218277,0.000139601
57,0.0116,0.000482759,0.00151111,0.00135897,0.000430769,0.00160256,0.0016831,0.000143447
58,0.0118,0.000551724,0.00333333,0.00208718,0.000307692,0.0017094,0.00190664,0.000149003
59,0.0116,0.000758621,0.0034,0.00284615,0.000153846,0.00288462,0.00280079,0.000151709
60,0.0116,0.000758621,0.00473333,0.00368718,0.000369231,0.00369658,0.00330046,0.000152707
61,0.0116,0.000689655,0.00326667,0.00381026,0.000492308,0.00438034,0.00373439,0.000155271
62,0.0116,0.000689655,0.00275556,0.00306154,0.000553846,0.00350427,0.00362919,0.000158547
63,0.0116,0.000689655,0.00286667,0.00262564,0.000938462,0.00254274,0.00332676,0.000169373
64,0.0114,0.000758621,0.00255556,0.0036,0.000830769,0.00395299,0.00382643,0.000185185
65,0.0114,0.000758621,0.00304444,0.00337949,0.00104615,0.00311966,0.0035503,0.000196724
66,0.011,0.000965517,0.00257778,0.00415385,0.000415385,0.00431624,0.00351085,0.00020698
67,0.011,0.000965517,0.00288889,0.0035641,0.000246154,0.00324786,0.00356345,0.000209687
68,0.0116,0.000965517,0.00353333,0.00309744,0.000553846,0.00282051,0.00316897,0.000211823
69,0.0118,0.00110345,0.00391111,0.00421538,0.000538462,0.00403846,0.00407627,0.000217806
70,0.012,0.00131034,0.00457778,0.00454359,0.000769231,0.00416667,0.00418146,0.000226496
71,0.012,0.00124138,0.00464444,0.00412821,0.000846154,0.00354701,0.00407627,0.000237749
72,0.0118,0.00137931,0.00544444,0.00562564,0.000630769,0.00532051,0.00553583,0.000248575
73,0.0118,0.00137931,0.00388889,0.00549231,0.00101538,0.00594017,0.00557528,0.000259687
74,0.0118,0.00131034,0.00315556,0.00413846,0.000969231,0.00356838,0.00424721,0.000273077
75,0.012,0.00124138,0.002,0.00390769,0.000907692,0.00371795,0.00364234,0.000288319
76,0.0116,0.00131034,0.00131111,0.00228205,0.000984615,0.00271368,0.00241946,0.00029886
77,0.0114,0.00131034,0.00211111,0.00171282,0.00115385,0.00136752,0.00193294,0.000315812
78,0.0114,0.00144828,0.0026,0.00168205,0.00107692,0.00160256,0.00157791,0.000330912
79,0.0114,0.00172414,0.00268889,0.00245128,0.00107692,0.00292735,0.00249836,0.000350285
80,0.011,0.002,0.00244444,0.00226667,0.00110769,0.00237179,0.00222222,0.000367806
81,0.0108,0.002,0.00284444,0.00295897,0.00112308,0.00305556,0.00277449,0.000381197
82,0.0106,0.002,0.00235556,0.00360513,0.000907692,0.00373932,0.00331361,0.000394729
83,0.0106,0.00186207,0.00313333,0.00356923,0.00115385,0.00376068,0.00315582,0.000408262
84,0.0104,0.0017931,0.00315556,0.00374359,0.00132308,0.00371795,0.00357659,0.000425214
85,0.0108,0.00193103,0.00455556,0.00393333,0.00133846,0.00331197,0.00414201,0.000438889
86,0.0112,0.002,0.00557778,0.00521026,0.00123077,0.00478632,0.00485207,0.000459259
87,0.0108,0.002,0.00411111,0.00494359,0.000984615,0.00529915,0.00512821,0.000473219
88,0.011,0.00206897,0.0046,0.00506667,0.00104615,0.00482906,0.00498356,0.000480057
89,0.011,0.00213793,0.00486667,0.00504103,0.00129231,0.00540598,0.00508876,0.000492593
90,0.011,0.0022069,0.00486667,0.00564103,0.0012,0.00564103,0.00529915,0.000505271
91,0.0108,0.0022069,0.00546667,0.00484103,0.00167692,0.00418803,0.00464168,0.000522934
92,0.011,0.00234483,0.00537778,0.00524103,0.00210769,0.00514957,0.00514135,0.000547721
93,0.011,0.0022069,0.00444444,0.00442564,0.00163077,0.00502137,0.00487837,0.000570655
94,0.0112,0.00213793,0.00546667,0.00544615,0.00255385,0.00536325,0.0052597,0.00060057
95,0.0114,0.00206897,0.0082,0.00685128,0.00333846,0.00683761,0.00706114,0.000646866
96,0.0112,0.00206897,0.00842222,0.00750769,0.00229231,0.00724359,0.00766601,0.000695157
97,0.0112,0.00213793,0.00744444,0.00764103,0.00233846,0.00730769,0.00719264,0.000721083
98,0.0112,0.00206897,0.00777778,0.00824103,0.00250769,0.00873932,0.0079027,0.000754701
99,0.0112,0.00206897,0.00835556,0.00855385,0.00361538,0.00863248,0.00809993,0.000801567
100,0.0114,0.00213793,0.0105778,0.00956923,0.00353846,0.0092735,0.00879684,0.000850712
101,0.0114,0.00248276,0.0117111,0.010041,0.00369231,0.0092735,0.010046,0.000901282
102,0.0112,0.00262069,0.0128667,0.0116821,0.00447692,0.0117949,0.0113741,0.000961966
103,0.0112,0.00275862,0.0133333,0.0128359,0.00429231,0.0131197,0.0127285,0.00102664
104,0.0118,0.00268966,0.0108,0.0124513,0.00393846,0.0136966,0.0129652,0.00107721
105,0.0118,0.00268966,0.00997778,0.0123385,0.0034,0.0117949,0.0121762,0.00112507
106,0.012,0.00282759,0.00871111,0.0116718,0.00336923,0.0122009,0.0116239,0.00117222
107,0.0124,0.00289655,0.0102222,0.0106462,0.00350769,0.0100427,0.0105194,0.00121695
108,0.012,0.00310345,0.00897778,0.0114359,0.00326154,0.0115385,0.0105062,0.00125655
109,0.0124,0.00296552,0.0103778,0.00968718,0.00393846,0.0104274,0.00962525,0.00129046
110,0.0122,0.00310345,0.0100444,0.0100923,0.00409231,0.00978632,0.0104536,0.00132849
111,0.0118,0.00358621,0.0101111,0.0100513,0.00427692,0.00959402,0.0104668,0.0013688
112,0.012,0.00351724,0.00964444,0.00828205,0.00435385,0.00799145,0.00866535,0.00142037
113,0.012,0.0037931,0.00953333,0.00813846,0.00438462,0.00826923,0.00838922,0.0014812
114,0.012,0.00393103,0.00991111,0.00955897,0.00498462,0.00918803,0.00908613,0.00153063
115,0.0118,0.0042069,0.00886667,0.00874872,0.00541538,0.00931624,0.00903353,0.00160028
116,0.012,0.00393103,0.0120889,0.00898462,0.00538462,0.00997863,0.00940171,0.00166994
117,0.0118,0.00393103,0.0125333,0.011041,0.00744615,0.0101068,0.0108218,0.00175199
118,0.0118,0.00386207,0.0146444,0.0124359,0.00810769,0.0125427,0.0121762,0.00186524
119,0.0116,0.00386207,0.0136222,0.0127385,0.00815385,0.0130556,0.0125049,0.00197707
120,0.0116,0.00386207,0.0140889,0.0131385,0.00743077,0.0135897,0.0132018,0.00207422
121,0.0116,0.004,0.0135778,0.0133282,0.00672308,0.0136325,0.0131492,0.00216239
122,0.0114,0.00393103,0.0150444,0.0138769,0.00715385,0.0134188,0.0138067,0.00224701
123,0.0112,0.00386207,0.0159556,0.0138256,0.0076,0.0138675,0.0132281,0.00234373
124,0.0112,0.00372414,0.0158222,0.0164974,0.00847692,0.0171581,0.015858,0.00243989
125,0.0114,0.00365517,0.0161111,0.0151282,0.00869231,0.0160043,0.0151216,0.002549
126,0.0118,0.00351724,0.0146444,0.0143128,0.00843077,0.0145085,0.0146746,0.00266325
127,0.0118,0.00358621,0.0146222,0.0154769,0.00866154,0.0146154,0.0149901,0.00276396
128,0.0118,0.00365517,0.0136889,0.0141282,0.0086,0.0150427,0.0144905,0.00288447
129,0.0116,0.0037931,0.0166,0.0158205,0.00786154,0.0138675,0.0149375,0.00298205
130,0.0116,0.00365517,0.0153778,0.0153231,0.00786154,0.0158974,0.0161867,0.00307735
131,0.0116,0.00365517,0.0159111,0.0167744,0.00816923,0.0168803,0.0166075,0.00317849
132,0.0114,0.00365517,0.0155556,0.0165795,0.0104615,0.0177564,0.0170151,0.00328333
133,0.0114,0.00372414,0.00928889,0.0136103,0.0112615,0.0142308,0.0137278,0.00341695
134,0.0116,0.00372414,0.00791111,0.0117179,0.0117538,0.011859,0.0114267,0.00355028
135,0.0116,0.00365517,0.008,0.00927692,0.0107077,0.00901709,0.00917817,0.00369145
136,0.0116,0.00351724,0.0066,0.00895897,0.0107385,0.00869658,0.0086522,0.00381496
