time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.01,0,0,0,0,0,0,0
1,0.01,0,0,0,0,0,0,0
2,0.0098,6.89655e-05,0,0,0,0,0,0
3,0.0096,0.000137931,0,0,0,0,0,0
4,0.01,0.000137931,0,0,0,0,0,0
5,0.01,6.89655e-05,0,0,0,0,0,0
6,0.0096,0.000206897,0,0,0,0,0,0
7,0.0096,0.000275862,0,0,0,0,0,0
8,0.0098,0.000275862,0,0,0,0,0,0
9,0.01,0.000344828,0,0,0,0,0,0
10,0.01,0.000413793,0,0,0,0,0,0
11,0.0098,0.000413793,0,0,0,0,0,0
12,0.01,0.000413793,0,0,0,0,0,0
13,0.0102,0.000482759,0,0,0,0,0,0
14,0.0102,0.000551724,0,0,0,0,0,0
15,0.0102,0.000551724,0,0,0,0,0,0
16,0.0104,0.000551724,0,0,0,0,0,0
17,0.0102,0.000551724,0,7.17949e-05,0,6.41026e-05,6.57462e-05,0
18,0.0102,0.000551724,0,2.05128e-05,0,2.13675e-05,0,0
19,0.01,0.00062069,0,0,0,0,0,0
20,0.0098,0.00062069,0,0,0,0,0,0
21,0.0096,0.00062069,4.44444e-05,7.17949e-05,0,6.41026e-05,0.000131492,0
22,0.0096,0.00062069,0,0.000179487,0,0.000149573,0.000131492,0
23,0.01,0.000689655,0,1.53846e-05,0,0,5.2597e-05,0
24,0.0102,0.000758621,0,4.10256e-05,0,6.41026e-05,1.31492e-05,0
25,0.0104,0.000896552,0,0,0,0,0,0
26,0.0106,0.000827586,4.44444e-05,2.05128e-05,0,0,1.31492e-05,0
27,0.0104,0.000758621,0.000111111,1.53846e-05,0,2.13675e-05,1.31492e-05,0
28,0.0104,0.000758621,0,2.5641e-05,0,4.2735e-05,2.62985e-05,0
29,0.0102,0.000827586,0,0,0,0,0,0
30,0.0102,0.000896552,0,0,0,0,0,0
31,0.0102,0.000896552,0,1.53846e-05,0,2.13675e-05,5.2597e-05,0
32,0.01,0.00103448,0,2.05128e-05,0,2.13675e-05,2.62985e-05,0
33,0.0098,0.00110345,0,0,0,0,0,0
34,0.0098,0.00110345,0,0,0,0,0,0
35,0.0098,0.00124138,0,0,0,0,0,0
36,0.0098,0.00124138,0,0,0,0,0,0
37,0.0098,0.00117241,0,0,0,0,0,0
38,0.01,0.00117241,0,0,0,0,0,0
39,0.0102,0.00124138,0,0,0,0,0,0
40,0.0104,0.00110345,0.000111111,3.07692e-05,0,0,5.2597e-05,0
41,0.0102,0.00110345,0,0,0,0,0,0
42,0.0102,0.00117241,0,0,0,0,0,0
43,0.0104,0.00124138,0,0,0,0,0,0
44,0.0104,0.00124138,0,0,0,0,0,0
45,0.0098,0.00137931,0.000133333,3.07692e-05,0,4.2735e-05,3.94477e-05,4.2735e-07
46,0.0098,0.00137931,0.000133333,7.17949e-05,0,0,9.20447e-05,4.2735e-07
47,0.0098,0.00144828,0.000777778,0.000235897,0,0.00034188,0.000249836,5.69801e-07
48,0.0098,0.00158621,0.000822222,0.0006,0,0.000448718,0.00069691,8.54701e-07
49,0.01,0.0017931,0.00144444,0.000912821,9.23077e-05,0.000683761,0.00086785,1.4245e-06
50,0.0102,0.0017931,0.00117778,0.00122051,0.000153846,0.0015812,0.00134122,4.13105e-06
51,0.0102,0.00193103,0.00175556,0.00142564,6.15385e-05,0.00104701,0.00140697,7.26496e-06
52,0.0106,0.00186207,0.0018,0.00252821,1.53846e-05,0.00198718,0.00197239,8.54701e-06
53,0.011,0.0017931,0.00191111,0.00168718,0,0.00162393,0.00136752,8.68946e-06
54,0.0108,0.00193103,0.002,0.00149744,0,0.00190171,0.00155161,8.97436e-06
55,0.0108,0.00193103,0.00226667,0.00172821,9.23077e-05,0.00175214,0.0017883,9.40171e-06
56,0.0108,0.002,0.00184444,0.00184103,0,0.0017735,0.00199869,1.12536e-05
57,0.0108,0.00206897,0.00224444,0.00217436,0,0.00222222,0.00210388,1.09687e-05
58,0.0108,0.00206897,0.00231111,0.00275897,0,0.00245726,0.00305062,1.09687e-05
59,0.011,0.00213793,0.00248889,0.00223077,0,0.00213675,0.00211703,1.1396e-05
60,0.011,0.00227586,0.00193333,0.00195385,0,0.00196581,0.00210388,1.1396e-05
61,0.0108,0.00241379,0.00222222,0.00224103,1.53846e-05,0.00220085,0.00220907,1.15385e-05
62,0.0108,0.00248276,0.00197778,0.00298974,0,0.00299145,0.00281394,1.15385e-05
63,0.011,0.00275862,0.00228889,0.00194872,0.000107692,0.00228632,0.0017883,1.19658e-05
64,0.011,0.00262069,0.00224444,0.00202564,3.07692e-05,0.00211538,0.00160421,1.35328e-05
65,0.0112,0.00255172,0.00182222,0.00212821,1.53846e-05,0.0017094,0.00195924,1.4245e-05
66,0.0112,0.00248276,0.00166667,0.00251795,7.69231e-05,0.00213675,0.00268245,1.4245e-05
67,0.011,0.00255172,0.00131111,0.00246154,0,0.00175214,0.00257725,1.52422e-05
68,0.011,0.00248276,0.000777778,0.00267692,1.53846e-05,0.00232906,0.00214333,1.55271e-05
69,0.0114,0.00248276,0.000955556,0.00177436,0,0.00168803,0.0016831,1.53846e-05
70,0.0114,0.00255172,0.000666667,0.00143077,3.07692e-05,0.00123932,0.00144642,1.59544e-05
71,0.0112,0.00248276,0.000822222,0.000830769,0,0.000662393,0.000815253,1.62393e-05
72,0.0114,0.00255172,0.000866667,0.00114872,0,0.000961538,0.00126233,1.62393e-05
73,0.0116,0.00262069,0.00122222,0.00094359,0,0.00119658,0.000933596,1.59544e-05
74,0.0116,0.00282759,0.00188889,0.00135897,0,0.00162393,0.00152531,1.5812e-05
75,0.0116,0.00282759,0.0016,0.00190256,0,0.00226496,0.00213018,1.7094e-05
76,0.0116,0.00268966,0.00162222,0.00258462,0,0.00301282,0.00270874,1.69516e-05
77,0.0116,0.00268966,0.00113333,0.00227692,0,0.00202991,0.00205128,1.68091e-05
78,0.0118,0.00268966,0.00173333,0.00153846,0,0.00143162,0.00153846,1.66667e-05
79,0.0118,0.00275862,0.00282222,0.00172308,0,0.00185897,0.001762,1.65242e-05
80,0.0118,0.00282759,0.0028,0.00187179,0,0.00211538,0.00185404,1.66667e-05
81,0.012,0.00282759,0.00251111,0.00257949,0,0.00213675,0.00255095,1.66667e-05
82,0.0124,0.00275862,0.00244444,0.0024359,0,0.00237179,0.00241946,1.69516e-05
83,0.0124,0.00268966,0.0032,0.00289744,1.53846e-05,0.00288462,0.00245891,1.72365e-05
84,0.0124,0.00268966,0.00306667,0.00262564,0,0.00307692,0.00303748,1.75214e-05
85,0.0132,0.00262069,0.00486667,0.00428205,9.23077e-05,0.0042094,0.00447074,1.89459e-05
86,0.0132,0.00255172,0.00684444,0.00515897,0.000461538,0.00544872,0.00499671,2.2792e-05
87,0.0134,0.00248276,0.00584444,0.00607179,0.000384615,0.00619658,0.00632479,3.66097e-05
88,0.0132,0.00241379,0.00784444,0.00597949,0.000446154,0.00604701,0.00674556,4.44444e-05
89,0.013,0.00241379,0.0092,0.00785641,0.000615385,0.00773504,0.00781065,5.34188e-05
90,0.0128,0.00255172,0.0109333,0.00863077,0.000846154,0.00826923,0.00917817,6.55271e-05
