time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.011,0,0,0,0,0,0,0
1,0.011,0,0,0,0,0,0,0
2,0.011,6.89655e-05,0,0,0,0,0,0
3,0.011,6.89655e-05,0,0,0,0,0,0
4,0.0112,6.89655e-05,0,0,0,0,0,0
5,0.0112,6.89655e-05,0,0,0,0,0,0
6,0.0114,6.89655e-05,0,0,0,0,0,0
7,0.0112,0.000137931,0,0,0,0,0,0
8,0.0112,0.000137931,0,0,0,0,0,0
9,0.011,0.000206897,0,0,0,0,0,0
10,0.0112,0.000206897,0,0,0,0,0,0
11,0.0116,0.000275862,0,0,0,0,0,0
12,0.0116,0.000344828,0,1.02564e-05,0,4.2735e-05,0,0
13,0.0116,0.000413793,0,0,0,0,0,0
14,0.0114,0.000482759,0,0,0,0,0,0
15,0.0116,0.000413793,0,5.12821e-06,0,2.13675e-05,0,0
16,0.0118,0.000413793,0,0,0,0,0,0
17,0.0116,0.000413793,0.000155556,4.10256e-05,0,2.13675e-05,5.2597e-05,0
18,0.0112,0.000482759,0.000266667,0.000369231,0,0.000235043,0.00017094,2.849e-07
19,0.0112,0.000482759,0,0.000271795,0,0.000213675,0.000394477,2.849e-07
20,0.0112,0.000551724,0,3.58974e-05,0,2.13675e-05,7.88955e-05,2.849e-07
21,0.0112,0.000551724,0,0,0,0,3.94477e-05,2.849e-07
22,0.011,0.00062069,0,0,0,0,0,2.849e-07
23,0.0108,0.000689655,0,0,0,0,0,2.849e-07
24,0.0106,0.000689655,0.000111111,8.71795e-05,0,6.41026e-05,3.94477e-05,2.849e-07
25,0.0104,0.000689655,6.66667e-05,9.74359e-05,0,6.41026e-05,9.20447e-05,2.849e-07
26,0.0104,0.000689655,2.22222e-05,1.53846e-05,0,6.41026e-05,1.31492e-05,2.849e-07
27,0.0104,0.00062069,0.000244444,3.58974e-05,0,8.54701e-05,2.62985e-05,1.4245e-07
28,0.0104,0.00062069,0.0002,6.66667e-05,0,8.54701e-05,3.94477e-05,1.4245e-07
29,0.0104,0.00062069,2.22222e-05,6.66667e-05,6.15385e-05,8.54701e-05,3.94477e-05,4.2735e-07
30,0.0106,0.000482759,0.0002,3.07692e-05,3.07692e-05,6.41026e-05,3.94477e-05,9.97151e-07
31,0.0108,0.000482759,0,0.000133333,0,0.000128205,9.20447e-05,9.97151e-07
32,0.0108,0.000551724,0,7.17949e-05,0,6.41026e-05,5.2597e-05,9.97151e-07
33,0.0106,0.00062069,0,0,0,0,0,9.97151e-07
34,0.0104,0.00062069,0,0,0,0,0,9.97151e-07
35,0.0104,0.00062069,0,0,0,0,0,9.97151e-07
36,0.0104,0.000827586,0,0,0,0,0,9.97151e-07
37,0.0104,0.000827586,0,0,0,0,0,9.97151e-07
38,0.0104,0.000896552,0,0,0,0,0,9.97151e-07
39,0.011,0.00103448,0,0,0,0,0,9.97151e-07
40,0.011,0.000965517,0,0,0,0,0,9.97151e-07
41,0.011,0.00103448,2.22222e-05,2.05128e-05,0,0,0.000105194,9.97151e-07
42,0.011,0.000965517,0,0,0,0,0,9.97151e-07
43,0.0108,0.00110345,0,0,0,0,0,9.97151e-07
44,0.011,0.00117241,0,0,0,0,0,9.97151e-07
45,0.011,0.00110345,0,0,0,0,0,9.97151e-07
46,0.011,0.00117241,0,0,0,0,0,9.97151e-07
47,0.011,0.00117241,0,0,0,0,0,9.97151e-07
48,0.011,0.00131034,0,0,0,0,0,9.97151e-07
49,0.011,0.00144828,0,0,0,0,0,9.97151e-07
50,0.011,0.00151724,0,0,0,0,0,9.97151e-07
51,0.0112,0.00137931,0.000133333,0.000169231,0,0.000192308,7.88955e-05,9.97151e-07
52,0.0112,0.00137931,0.000155556,0.000220513,0,0.00017094,0.000223537,9.97151e-07
53,0.0114,0.00137931,4.44444e-05,0.000123077,0,4.2735e-05,0.000157791,9.97151e-07
54,0.0118,0.00144828,0,0.000323077,0,0.000235043,0.000210388,9.97151e-07
55,0.0122,0.00165517,0,5.12821e-05,0,8.54701e-05,9.20447e-05,9.97151e-07
56,0.0124,0.00158621,0,5.12821e-06,0,0,0,9.97151e-07
57,0.0124,0.00144828,0,0,0,0,0,9.97151e-07
58,0.0124,0.00151724,0,0,0,0,0,9.97151e-07
59,0.0122,0.00151724,0,0,0,0,0,9.97151e-07
60,0.0122,0.00158621,0,0,0,0,0,9.97151e-07
61,0.012,0.00165517,0.0002,0.000138462,0,0.000149573,0.000131492,9.97151e-07
62,0.0116,0.00193103,0.000711111,0.000215385,4.61538e-05,0.00025641,0.000236686,1.56695e-06
63,0.0116,0.00193103,0.000311111,0.000364103,0,0.000363248,0.000420776,1.85185e-06
64,0.0118,0.00213793,0.000155556,0.000646154,0,0.00042735,0.000381328,1.85185e-06
65,0.012,0.00206897,4.44444e-05,0.000415385,0,0.000384615,0.000433925,1.7094e-06
66,0.0118,0.00206897,0.0002,0.000282051,0,0.000363248,0.000276134,1.56695e-06
67,0.0118,0.00206897,0.000222222,0.000133333,0,6.41026e-05,0.000144642,1.28205e-06
68,0.0118,0.0022069,0.000777778,0.000338462,0,0.000555556,0.000473373,1.28205e-06
69,0.0116,0.0022069,0.000977778,0.000687179,0,0.000854701,0.000683761,1.4245e-06
70,0.0118,0.00213793,0.000844444,0.00094359,0,0.000726496,0.000710059,1.4245e-06
71,0.0124,0.0022069,0.000422222,0.000779487,0,0.000747863,0.000683761,1.4245e-06
72,0.0122,0.00241379,0.000177778,0.000548718,0,0.000619658,0.000657462,1.4245e-06
73,0.0126,0.00255172,0.000533333,0.0004,0,0.000448718,0.000381328,1.4245e-06
74,0.0132,0.00241379,0.000622222,0.0006,0,0.000555556,0.000447074,1.7094e-06
75,0.013,0.00262069,0.000711111,0.000610256,0,0.000833333,0.000815253,1.7094e-06
